s_adj,age,sex,unit,geo\time	2019M09 	2019M10 	2019M11 	2019M12 	2020M01 	2020M02 	2020M03 	2020M04 	2020M05 	2020M06 	2020M07 	2020M08 
SA,TOTAL,M,PC_ACT,EU28	6.0 	6.0 	6.0 	6.0 	6.0 	: 	: 	: 	: 	: 	: 	: 
SA,TOTAL,M,PC_ACT,FI	7.4 	7.3 	7.2 	7.1 	7.0 	7.1 	7.2 	7.5 	7.8 	8.0 	8.2 	: 
SA,TOTAL,M,PC_ACT,FR	8.5 	8.4 	8.3 	8.3 	7.9 	7.5 	7.4 	8.1 	7.3 	6.9 	7.1 	: 
SA,TOTAL,M,PC_ACT,HR	6.0 	6.0 	6.0 	6.0 	6.1 	6.0 	6.5 	7.7 	8.4 	8.3 	8.1 	: 
SA,TOTAL,M,PC_ACT,HU	3.4 	3.4 	3.3 	3.2 	3.3 	3.4 	3.5 	4.0 	4.4 	4.7 	: 	: 
SA,TOTAL,M,PC_ACT,IE	5.1 	4.9 	4.8 	4.9 	5.1 	5.1 	5.1 	5.0 	4.9 	4.9 	5.0 	5.1 
SA,TOTAL,M,PC_ACT,IS	3.6 	3.7 	3.8 	3.7 	3.7 	3.7 	3.4 	3.8 	4.4 	4.6 	5.4 	: 
SA,TOTAL,M,PC_ACT,IT	8.8 	8.4 	8.5 	8.7 	8.5 	8.4 	7.5 	7.0 	7.8 	8.5 	8.9 	: 
SA,TOTAL,M,PC_ACT,JP	2.6 	2.5 	2.3 	2.4 	2.4 	2.6 	2.7 	2.9 	3.2 	3.1 	3.0 	: 
SA,TOTAL,M,PC_ACT,LT	7.7 	7.4 	7.5 	7.4 	6.8 	7.1 	7.3 	8.8 	9.6 	9.9 	10.3 	: 
SA,TOTAL,M,PC_ACT,LU	5.5 	5.5 	5.6 	5.6 	5.7 	5.8 	6.8 	7.7 	7.9 	7.9 	7.4 	: 
SA,TOTAL,M,PC_ACT,LV	6.5 	6.2 	6.5 	7.3 	8.0 	7.9 	8.2 	9.3 	10.0 	10.4 	10.5 	: 
SA,TOTAL,M,PC_ACT,MT	3.3 	3.3 	3.4 	3.5 	3.7 	3.7 	4.1 	4.3 	4.2 	3.9 	3.8 	: 
SA,TOTAL,M,PC_ACT,NL	3.5 	3.6 	3.7 	3.4 	3.1 	2.9 	2.9 	3.6 	3.6 	4.2 	4.2 	: 
