s_adj,age,sex,unit,geo_time,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08
SA,Y_LT25,T,PC_ACT,DK,10.2,10.6,10.4,9.9,9.9,9.9,10.2,10.5,11.9,12.6,12.2,
SA,Y_LT25,T,PC_ACT,EA,15.6,15.5,15.6,15.5,15.5,15.3,15.4,16.4,16.7,17.2,17.3,
SA,Y_LT25,T,PC_ACT,EA18,15.7,15.5,15.6,15.5,15.5,15.3,15.4,16.4,16.7,17.2,17.3,
SA,Y_LT25,T,PC_ACT,EA19,15.6,15.5,15.6,15.5,15.5,15.3,15.4,16.4,16.7,17.2,17.3,
SA,Y_LT25,T,PC_ACT,EE,9.3,8.1,9.2,9.3,8.6,9.6,9.9,13.2,17.9,23.2,,
SA,Y_LT25,T,PC_ACT,EL,34.9,35.3,34.5,32.4,33.5,34.7,31.7,34.9,38.1,39.3,,
SA,Y_LT25,T,PC_ACT,ES,32.2,31.2,30.5,30.3,31.2,31.5,33.9,37.3,38.9,41.6,41.7,
SA,Y_LT25,T,PC_ACT,EU27_2007,14.3,14.1,14.1,14.1,14.2,,,,,,,
SA,Y_LT25,T,PC_ACT,EU27_2020,15.0,14.8,14.9,14.8,14.9,14.9,14.8,16.0,16.4,16.9,17.0,
SA,Y_LT25,T,PC_ACT,EU28,14.3,14.1,14.2,14.1,14.2,,,,,,,
SA,Y_LT25,T,PC_ACT,FI,18.4,18.4,18.4,18.5,18.7,19.1,19.4,19.8,20.2,20.5,20.6,
SA,Y_LT25,T,PC_ACT,FR,19.3,19.9,20.1,20.2,19.4,18.5,18.8,22.0,20.9,20.3,19.7,
SA,Y_LT25,T,PC_ACT,HR,16.4,16.2,16.2,16.2,16.6,16.6,16.6,24.0,24.0,24.0,,
SA,Y_LT25,T,PC_ACT,HU,12.3,12.8,12.3,10.9,10.7,11.3,11.9,13.5,15.9,15.2,,
SA,Y_LT25,T,PC_ACT,IE,11.8,10.9,10.8,11.2,11.9,12.1,12.7,13.1,14.1,15.7,17.0,17.5
