s_adj,age,sex,unit,geo\time	2019M09 	2019M10 	2019M11 	2019M12 	2020M01 	2020M02 	2020M03 	2020M04 	2020M05 	2020M06 	2020M07 	2020M08 
SA,Y25-74,F,THS_PER,AT	70 	71 	70 	71 	71 	68 	70 	77 	80 	78 	74 	: 
SA,Y25-74,F,THS_PER,BE	94 	89 	86 	85 	90 	93 	96 	99 	98 	96 	96 	: 
SA,Y25-74,F,THS_PER,BG	52 	53 	53 	52 	56 	53 	53 	63 	60 	58 	59 	: 
SA,Y25-74,F,THS_PER,CH	82 	76 	73 	75 	82 	83 	84 	81 	81 	84 	: 	: 
SA,Y25-74,F,THS_PER,CY	13 	13 	13 	12 	12 	11 	11 	14 	14 	12 	10 	: 
SA,Y25-74,F,THS_PER,CZ	50 	50 	49 	48 	48 	48 	48 	52 	56 	57 	62 	: 
SA,Y25-74,F,THS_PER,DE	432 	442 	457 	480 	513 e	559 e	614 e	673 e	727 e	769 e	794 e	: 
SA,Y25-74,F,THS_PER,DK	56 	57 	56 	56 	54 	56 	51 	54 	61 	67 	65 	: 
SA,Y25-74,F,THS_PER,EA	4964 	4933 	4923 	4897 	4993 	4900 	4796 	4692 	4798 	4929 	5124 	: 
SA,Y25-74,F,THS_PER,EA18	4928 	4898 	4888 	4862 	4960 	4866 	4761 	4651 	4753 	4882 	5076 	: 
SA,Y25-74,F,THS_PER,EA19	4964 	4933 	4923 	4897 	4993 	4900 	4796 	4692 	4798 	4929 	5124 	: 
SA,Y25-74,F,THS_PER,EE	14 	13 	13 	12 	13 	12 	13 	18 	19 	18 	: 	: 
SA,Y25-74,F,THS_PER,EL	391 	382 	383 	379 	374 	364 	287 	349 	400 	380 	: 	: 
SA,Y25-74,F,THS_PER,ES	1491 	1482 	1470 	1459 	1481 	1451 	1491 	1504 	1478 	1471 	1466 	: 
SA,Y25-74,F,THS_PER,EU27_2007	5952 	5950 	5937 	5894 	6018 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,F,THS_PER,EU27_2020	5637 	5614 	5601 	5562 	5671 	5589 	5462 	5444 	5606 	5771 	5944 	: 
SA,Y25-74,F,THS_PER,EU28	5999 	5996 	5983 	5940 	6062 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,F,THS_PER,FI	57 	58 	58 	59 	60 	60 	62 	63 	65 	66 	67 	: 
SA,Y25-74,F,THS_PER,FR	952 	935 	927 	922 	931 	884 	832 	793 	663 	629 	717 	: 
SA,Y25-74,F,THS_PER,HR	47 	46 	46 	46 	44 	43 	48 	58 	64 	63 	63 	: 
SA,Y25-74,F,THS_PER,HU	62 	63 	60 	63 	63 	63 	61 	67 	82 	86 	: 	: 
SA,Y25-74,F,THS_PER,IE	35 	35 	37 	38 	39 	39 	39 	33 	32 	31 	33 	33 
SA,Y25-74,F,THS_PER,IS	2 	2 	2 	2 	3 	3 	2 	3 	3 	3 	3 	: 
SA,Y25-74,F,THS_PER,IT	1007 	1013 	1013 	1013 	: 	: 	: 	: 	: 	: 	: 	: 
SA,Y25-74,F,THS_PER,LT	36 	34 	35 	35 	33 	34 	35 	42 	45 	47 	48 	: 
SA,Y25-74,F,THS_PER,LU	6 	6 	6 	6 	6 	6 	7 	8 	8 	8 	8 	: 
SA,Y25-74,F,THS_PER,LV	24 	23 	23 	24 	26 	26 	27 	30 	31 	32 	32 	: 
SA,Y25-74,F,THS_PER,MT	3 	3 	3 	3 	3 	3 	3 	4 	4 	5 	4 	: 
SA,Y25-74,F,THS_PER,NL	100 	98 	95 	90 	85 	85 	84 	88 	93 	123 	131 	: 
SA,Y25-74,F,THS_PER,NO	29 	29 	30 	30 	28 	28 	29 	35 	38 	41 	: 	: 
SA,Y25-74,F,THS_PER,PL	207 	201 	196 	196 	188 	184 	180 	190 	201 	206 	205 	: 
