,unit,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
47,PC_ACT,DE22,1.6,1.4,1.4,1.2,1.1,1.3,0.9,0.9,0.8,0.8,0.8,
48,PC_ACT,DE23,2.0,2.0,1.9,1.3,1.2,1.3,1.1,1.1,1.3,0.9,0.8,
49,PC_ACT,DE24,3.0,2.5,2.5,1.6,1.1,1.4,1.4,1.6,1.1,1.1,,
50,PC_ACT,DE25,2.4,2.2,2.1,1.7,1.4,1.0,1.0,0.8,0.8,0.7,,0.6
51,PC_ACT,DE26,1.7,1.8,1.8,1.3,1.2,1.0,0.9,,0.8,,,
52,PC_ACT,DE27,1.5,1.5,1.5,1.3,1.0,1.1,1.1,0.9,1.0,0.9,0.7,0.7
53,PC_ACT,DE30,9.4,7.9,7.3,5.8,5.3,5.0,4.9,4.7,3.4,2.9,2.6,2.0
54,PC_ACT,DE40,6.8,6.3,5.1,4.6,4.4,3.9,3.5,3.1,2.2,2.3,2.2,1.6
55,PC_ACT,DE50,5.6,3.8,3.9,2.9,2.3,2.4,2.4,2.0,1.8,1.7,1.5,1.7
56,PC_ACT,DE60,3.8,3.0,2.9,2.4,2.3,2.3,2.0,1.9,1.5,1.9,1.9,1.4
57,PC_ACT,DE71,2.8,2.4,2.3,1.9,1.9,1.5,1.6,1.6,1.5,1.2,1.0,0.9
58,PC_ACT,DE72,3.1,2.4,2.5,1.9,2.0,1.9,1.7,1.5,1.3,1.4,1.5,1.2
59,PC_ACT,DE73,3.8,3.1,2.6,2.0,1.7,1.5,1.5,1.4,1.1,1.0,0.8,1.1
60,PC_ACT,DE80,7.9,7.3,6.2,5.4,5.4,5.4,5.2,4.4,3.0,2.6,2.2,1.8
61,PC_ACT,DE91,4.6,4.1,3.5,2.9,2.7,2.8,2.4,2.3,1.9,2.1,1.8,1.4
62,PC_ACT,DE92,4.0,3.7,3.6,3.3,2.5,2.4,2.4,2.1,2.0,2.2,1.9,1.4
63,PC_ACT,DE93,3.4,2.5,2.7,2.2,2.0,1.9,1.7,1.6,1.3,1.3,1.1,0.9
64,PC_ACT,DE94,3.0,2.5,2.6,1.9,1.4,1.5,1.7,1.6,1.2,1.2,0.9,1.1
65,PC_ACT,DEA1,3.9,3.5,3.6,3.5,3.2,3.1,3.1,2.9,2.2,2.0,1.9,1.6
66,PC_ACT,DEA2,3.6,3.2,3.3,2.9,2.4,2.6,2.4,2.1,1.6,1.6,1.6,1.5
67,PC_ACT,DEA3,3.1,3.1,3.0,2.7,2.1,2.2,2.0,1.7,1.8,1.6,1.5,1.3
68,PC_ACT,DEA4,3.7,3.4,3.1,2.4,2.0,2.0,2.1,2.1,1.6,1.6,1.3,1.4
69,PC_ACT,DEA5,4.3,3.9,4.1,3.6,3.3,2.9,2.5,2.5,2.2,2.1,1.9,1.7
