,s_adj,age,sex,unit,geo,2019m09,2019m10,2019m11,2019m12,2020m01,2020m02,2020m03,2020m04,2020m05,2020m06,2020m07,2020m08
0,SA,Y25-74,F,PC_ACT,AT,3.7,3.8,3.7,3.7,3.7,3.6,3.7,4.0,4.2,4.1,3.9,
1,SA,Y25-74,F,PC_ACT,BE,4.3,4.1,3.9,3.9,4.1,4.2,4.4,4.5,4.4,4.4,4.4,
2,SA,Y25-74,F,PC_ACT,BG,3.5,3.6,3.6,3.5,3.8,3.6,3.6,4.2,4.0,3.9,3.9,
3,SA,Y25-74,F,PC_ACT,CH,4.0,3.8,3.6,3.7,4.0,4.1,4.1,4.0,4.1,4.2,,
4,SA,Y25-74,F,PC_ACT,CY,7.0,6.8,6.6,6.3,6.0,5.6,5.9,7.3,7.3,6.1,5.3,
5,SA,Y25-74,F,PC_ACT,CZ,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.3,2.5,2.5,2.7,
6,SA,Y25-74,F,PC_ACT,DE,2.3,2.4,2.5,2.6,2.8,3.0,3.3,3.6,3.9,4.1,4.3,
7,SA,Y25-74,F,PC_ACT,DK,4.6,4.7,4.6,4.6,4.5,4.6,4.2,4.5,5.1,5.6,5.4,
8,SA,Y25-74,F,PC_ACT,EA,7.1,7.1,7.0,7.0,7.1,7.0,6.9,6.8,7.0,7.2,7.5,
9,SA,Y25-74,F,PC_ACT,EA18,7.1,7.1,7.1,7.0,7.1,7.0,6.9,6.8,7.0,7.2,7.5,
10,SA,Y25-74,F,PC_ACT,EA19,7.1,7.1,7.0,7.0,7.1,7.0,6.9,6.8,7.0,7.2,7.5,
11,SA,Y25-74,F,PC_ACT,EE,4.6,4.0,4.1,3.7,4.0,3.8,4.0,5.6,6.3,5.8,,
12,SA,Y25-74,F,PC_ACT,EL,19.8,19.5,19.4,19.4,19.0,18.7,15.3,18.2,21.2,20.0,,
13,SA,Y25-74,F,PC_ACT,ES,14.8,14.7,14.5,14.4,14.5,14.3,14.9,15.5,15.5,15.5,15.4,
14,SA,Y25-74,F,PC_ACT,EU27_2007,5.7,5.7,5.7,5.7,5.8,,,,,,,
15,SA,Y25-74,F,PC_ACT,EU27_2020,6.2,6.2,6.2,6.1,6.2,6.2,6.1,6.1,6.3,6.5,6.7,
16,SA,Y25-74,F,PC_ACT,EU28,5.7,5.7,5.7,5.7,5.8,,,,,,,
17,SA,Y25-74,F,PC_ACT,FI,4.9,5.0,5.0,5.1,5.1,5.2,5.3,5.4,5.6,5.7,5.8,
18,SA,Y25-74,F,PC_ACT,FR,7.3,7.1,7.1,7.0,7.1,6.8,6.4,6.2,5.2,5.0,5.6,
19,SA,Y25-74,F,PC_ACT,HR,6.1,6.0,6.0,6.0,5.7,5.7,6.2,7.4,8.1,8.0,8.0,
20,SA,Y25-74,F,PC_ACT,HU,3.2,3.2,3.0,3.2,3.2,3.2,3.2,3.5,4.2,4.4,,
21,SA,Y25-74,F,PC_ACT,IE,3.6,3.6,3.7,3.8,3.9,3.9,4.0,3.4,3.3,3.3,3.4,3.5
22,SA,Y25-74,F,PC_ACT,IS,2.4,2.4,2.5,2.8,3.5,3.6,3.1,3.2,3.8,3.6,3.6,
23,SA,Y25-74,F,PC_ACT,IT,9.6,9.7,9.7,9.7,,,,,,,,
24,SA,Y25-74,F,PC_ACT,LT,5.3,5.0,5.0,5.1,4.9,5.0,5.2,6.2,6.7,6.9,7.1,
25,SA,Y25-74,F,PC_ACT,LU,4.7,4.6,4.6,4.7,4.7,4.8,5.2,5.8,6.0,6.0,5.8,
26,SA,Y25-74,F,PC_ACT,LV,5.1,5.0,5.0,5.3,5.6,5.7,5.9,6.6,6.9,7.0,7.1,
27,SA,Y25-74,F,PC_ACT,MT,3.8,3.6,3.4,3.1,2.9,2.5,3.2,4.6,4.6,4.7,4.6,
28,SA,Y25-74,F,PC_ACT,NL,2.8,2.7,2.6,2.5,2.3,2.3,2.3,2.4,2.6,3.4,3.6,
29,SA,Y25-74,F,PC_ACT,NO,2.5,2.5,2.6,2.6,2.5,2.4,2.5,3.1,3.3,3.6,,
30,SA,Y25-74,F,PC_ACT,PL,2.9,2.9,2.8,2.8,2.7,2.6,2.6,2.7,2.9,3.0,2.9,
