,s_adj,age,sex,unit,geo,2019m09,2019m10,2019m11,2019m12,2020m01,2020m02,2020m03,2020m04,2020m05,2020m06,2020m07,2020m08
0,SA,TOTAL,F,PC_ACT,AT,4.2,4.2,4.1,4.2,4.3,4.3,4.4,4.7,4.9,4.7,4.5,
1,SA,TOTAL,F,PC_ACT,BE,4.9,4.8,4.7,4.6,4.8,4.9,5.0,5.2,5.2,5.1,5.1,
2,SA,TOTAL,F,PC_ACT,BG,3.7,3.8,3.8,3.6,4.0,3.8,3.9,4.6,4.4,4.1,4.1,
3,SA,TOTAL,F,PC_ACT,CH,4.6,4.3,4.2,4.2,4.4,4.4,4.5,4.5,4.6,4.7,,
4,SA,TOTAL,F,PC_ACT,CY,7.6,7.5,7.3,7.1,6.5,6.0,6.4,8.1,8.4,7.2,6.3,
5,SA,TOTAL,F,PC_ACT,CZ,2.4,2.4,2.3,2.3,2.2,2.3,2.4,2.5,2.8,2.9,3.1,
6,SA,TOTAL,F,PC_ACT,DE,2.6,2.6,2.7,2.8,3.0,3.3,3.5,3.8,4.1,4.3,4.4,
7,SA,TOTAL,F,PC_ACT,DK,5.5,5.6,5.5,5.3,5.0,5.1,5.0,5.3,6.1,6.4,6.1,
8,SA,TOTAL,F,PC_ACT,EA,7.8,7.8,7.7,7.7,7.8,7.7,7.6,7.6,7.8,8.0,8.3,
9,SA,TOTAL,F,PC_ACT,EA18,7.8,7.8,7.7,7.7,7.9,7.7,7.7,7.7,7.8,8.0,8.3,
10,SA,TOTAL,F,PC_ACT,EA19,7.8,7.8,7.7,7.7,7.8,7.7,7.6,7.6,7.8,8.0,8.3,
11,SA,TOTAL,F,PC_ACT,EE,4.9,4.3,4.5,4.2,4.4,4.2,4.4,6.1,7.5,7.2,,
12,SA,TOTAL,F,PC_ACT,EL,20.7,20.5,20.4,20.1,19.9,19.7,16.1,19.2,22.1,21.1,,
13,SA,TOTAL,F,PC_ACT,ES,16.1,15.8,15.6,15.5,15.6,15.5,16.1,16.8,16.9,17.1,16.9,
14,SA,TOTAL,F,PC_ACT,EU27_2007,6.5,6.4,6.4,6.3,6.5,,,,,,,
15,SA,TOTAL,F,PC_ACT,EU27_2020,6.9,6.9,6.9,6.8,6.9,6.9,6.8,6.9,7.1,7.3,7.5,
16,SA,TOTAL,F,PC_ACT,EU28,6.5,6.4,6.4,6.4,6.5,,,,,,,
17,SA,TOTAL,F,PC_ACT,FI,6.4,6.4,6.5,6.5,6.6,6.7,6.8,6.9,7.1,7.2,7.3,
18,SA,TOTAL,F,PC_ACT,FR,8.3,8.2,8.1,8.1,8.2,7.8,7.5,7.6,6.6,6.2,6.8,
19,SA,TOTAL,F,PC_ACT,HR,7.0,6.9,6.9,6.9,6.6,6.6,7.2,8.7,9.6,9.4,9.3,
20,SA,TOTAL,F,PC_ACT,HU,3.7,3.8,3.6,3.6,3.6,3.7,3.9,4.3,5.3,5.3,,
21,SA,TOTAL,F,PC_ACT,IE,4.4,4.4,4.5,4.6,4.7,4.7,4.9,4.6,4.7,5.0,5.3,5.3
22,SA,TOTAL,F,PC_ACT,IS,3.3,3.3,3.3,3.3,3.9,4.0,3.6,4.0,4.6,4.4,4.4,
23,SA,TOTAL,F,PC_ACT,IT,10.8,10.9,10.8,10.7,11.0,10.6,9.9,7.8,9.6,10.3,10.8,
24,SA,TOTAL,F,PC_ACT,JP,2.2,2.2,2.0,2.0,2.2,2.2,2.2,2.3,2.5,2.5,2.7,
25,SA,TOTAL,F,PC_ACT,LT,5.6,5.4,5.4,5.5,5.4,5.5,5.8,6.8,7.4,7.7,7.7,
26,SA,TOTAL,F,PC_ACT,LU,5.5,5.5,5.5,5.6,5.7,5.8,6.2,7.2,7.5,7.5,7.2,
27,SA,TOTAL,F,PC_ACT,LV,5.4,5.4,5.4,5.7,6.0,6.0,6.2,7.1,7.4,7.5,7.5,
28,SA,TOTAL,F,PC_ACT,MT,4.2,4.1,4.0,3.8,3.7,3.2,3.6,4.6,4.8,4.8,4.6,
29,SA,TOTAL,F,PC_ACT,NL,3.4,3.3,3.3,3.1,3.0,3.0,2.9,3.3,3.6,4.5,4.8,
30,SA,TOTAL,F,PC_ACT,NO,3.5,3.4,3.6,3.5,3.4,3.3,3.4,4.0,4.5,4.8,,
31,SA,TOTAL,F,PC_ACT,PL,3.3,3.2,3.2,3.1,3.1,3.0,3.0,3.2,3.4,3.5,3.5,
32,SA,TOTAL,F,PC_ACT,PT,7.1,7.0,7.4,7.2,7.1,6.9,6.9,7.4,6.0,7.6,8.2,
33,SA,TOTAL,F,PC_ACT,RO,3.4,3.2,3.2,3.2,3.6,3.4,3.6,4.6,4.5,5.0,4.5,
