,s_adj,age,sex,unit,geo,2019m09,2019m10,2019m11,2019m12,2020m01,2020m02,2020m03,2020m04,2020m05,2020m06,2020m07,2020m08
0,SA,TOTAL,F,THS_PER,AT,88,89,88,90,92,91.0,93.0,101.0,104.0,102.0,96.0,
1,SA,TOTAL,F,THS_PER,BE,117,113,110,110,115,117.0,120.0,125.0,124.0,123.0,121.0,
2,SA,TOTAL,F,THS_PER,BG,56,58,58,57,61,59.0,59.0,72.0,68.0,64.0,64.0,
3,SA,TOTAL,F,THS_PER,CH,106,100,97,98,102,102.0,104.0,103.0,105.0,106.0,,
4,SA,TOTAL,F,THS_PER,CY,16,16,16,15,14,13.0,13.0,17.0,18.0,15.0,13.0,
5,SA,TOTAL,F,THS_PER,CZ,57,57,54,54,54,55.0,57.0,60.0,66.0,68.0,74.0,
6,SA,TOTAL,F,THS_PER,DE,524,536,555,581,619,668.0,727.0,787.0,841.0,881.0,903.0,
7,SA,TOTAL,F,THS_PER,DK,78,80,78,75,71,73.0,71.0,75.0,85.0,90.0,87.0,
8,SA,TOTAL,F,THS_PER,EA,5953,5918,5907,5878,6005,5896.0,5784.0,5712.0,5824.0,5984.0,6192.0,
9,SA,TOTAL,F,THS_PER,EA18,5912,5879,5867,5837,5965,5855.0,5742.0,5663.0,5770.0,5929.0,6137.0,
10,SA,TOTAL,F,THS_PER,EA19,5953,5918,5907,5878,6005,5896.0,5784.0,5712.0,5824.0,5984.0,6192.0,
11,SA,TOTAL,F,THS_PER,EE,17,15,16,15,15,15.0,15.0,21.0,25.0,24.0,,
12,SA,TOTAL,F,THS_PER,EL,433,424,425,414,413,404.0,318.0,389.0,439.0,421.0,,
13,SA,TOTAL,F,THS_PER,ES,1733,1709,1687,1678,1704,1669.0,1716.0,1734.0,1703.0,1714.0,1703.0,
14,SA,TOTAL,F,THS_PER,EU27_2007,7338,7303,7294,7243,7400,,,,,,,
15,SA,TOTAL,F,THS_PER,EU27_2020,6840,6797,6787,6729,6872,6784.0,6657.0,6691.0,6888.0,7079.0,7264.0,
16,SA,TOTAL,F,THS_PER,EU28,7396,7360,7351,7299,7455,,,,,,,
17,SA,TOTAL,F,THS_PER,FI,85,85,86,87,87,88.0,90.0,92.0,93.0,95.0,96.0,
18,SA,TOTAL,F,THS_PER,FR,1185,1174,1169,1166,1184,1127.0,1070.0,1061.0,907.0,863.0,951.0,
19,SA,TOTAL,F,THS_PER,HR,58,57,57,57,55,54.0,59.0,73.0,82.0,80.0,79.0,
20,SA,TOTAL,F,THS_PER,HU,78,80,75,76,76,78.0,80.0,88.0,110.0,111.0,,
21,SA,TOTAL,F,THS_PER,IE,50,50,51,52,54,54.0,55.0,50.0,50.0,53.0,56.0,57.0
22,SA,TOTAL,F,THS_PER,IS,3,3,3,3,4,4.0,3.0,4.0,4.0,4.0,4.0,
23,SA,TOTAL,F,THS_PER,IT,1199,1207,1200,1176,1215,1165.0,1067.0,802.0,1011.0,1088.0,1168.0,
24,SA,TOTAL,F,THS_PER,JP,670,690,630,620,690,660.0,690.0,680.0,750.0,750.0,830.0,
25,SA,TOTAL,F,THS_PER,LT,41,39,40,41,40,40.0,42.0,49.0,53.0,56.0,55.0,
26,SA,TOTAL,F,THS_PER,LU,8,8,8,8,8,8.0,9.0,10.0,11.0,11.0,10.0,
27,SA,TOTAL,F,THS_PER,LV,26,26,26,28,29,29.0,30.0,34.0,36.0,36.0,36.0,
28,SA,TOTAL,F,THS_PER,MT,4,4,4,4,4,4.0,4.0,5.0,5.0,5.0,5.0,
29,SA,TOTAL,F,THS_PER,NL,147,146,142,134,130,131.0,127.0,140.0,154.0,196.0,212.0,
30,SA,TOTAL,F,THS_PER,NO,47,46,48,47,45,44.0,45.0,53.0,59.0,65.0,,
31,SA,TOTAL,F,THS_PER,PL,255,246,238,236,234,231.0,228.0,240.0,251.0,258.0,257.0,
32,SA,TOTAL,F,THS_PER,PT,183,182,191,184,183,177.0,174.0,185.0,146.0,190.0,208.0,
33,SA,TOTAL,F,THS_PER,RO,132,123,123,122,140,130.0,141.0,177.0,171.0,190.0,171.0,
34,SA,TOTAL,F,THS_PER,SE,173,177,196,175,176,209.0,178.0,194.0,231.0,234.0,230.0,
35,SA,TOTAL,F,THS_PER,SI,23,23,23,22,23,23.0,23.0,26.0,26.0,26.0,25.0,
36,SA,TOTAL,F,THS_PER,SK,74,73,72,71,78,80.0,78.0,86.0,85.0,85.0,87.0,
37,SA,TOTAL,F,THS_PER,UK,556,563,564,570,583,585.0,577.0,606.0,588.0,,,
38,SA,TOTAL,F,THS_PER,US,2663,2716,2715,2739,2734,2672.0,3378.0,11876.0,10791.0,8762.0,8013.0,
39,SA,TOTAL,M,THS_PER,AT,114,108,104,102,106,111.0,115.0,113.0,149.0,146.0,142.0,
40,SA,TOTAL,M,THS_PER,BE,148,153,155,157,143,137.0,139.0,148.0,153.0,159.0,160.0,
41,SA,TOTAL,M,THS_PER,BG,78,82,85,85,87,80.0,76.0,89.0,87.0,83.0,83.0,
42,SA,TOTAL,M,THS_PER,CH,107,104,103,105,109,109.0,113.0,121.0,127.0,129.0,,
43,SA,TOTAL,M,THS_PER,CY,13,14,14,13,15,15.0,15.0,18.0,19.0,18.0,18.0,
44,SA,TOTAL,M,THS_PER,CZ,56,52,59,52,56,51.0,55.0,58.0,64.0,75.0,70.0,
45,SA,TOTAL,M,THS_PER,DE,819,835,851,868,889,916.0,947.0,979.0,1005.0,1024.0,1033.0,
46,SA,TOTAL,M,THS_PER,DK,81,78,77,74,77,76.0,74.0,72.0,78.0,91.0,94.0,
47,SA,TOTAL,M,THS_PER,EA,6291,6226,6230,6261,6190,6059.0,6050.0,6230.0,6286.0,6465.0,6601.0,
48,SA,TOTAL,M,THS_PER,EA18,6235,6172,6175,6207,6140,6007.0,5996.0,6164.0,6215.0,6392.0,6524.0,
49,SA,TOTAL,M,THS_PER,EA19,6291,6226,6230,6261,6190,6059.0,6050.0,6230.0,6286.0,6465.0,6601.0,
50,SA,TOTAL,M,THS_PER,EE,13,14,15,17,18,19.0,19.0,22.0,24.0,32.0,,
51,SA,TOTAL,M,THS_PER,EL,363,361,358,352,346,335.0,330.0,335.0,339.0,416.0,,
52,SA,TOTAL,M,THS_PER,ES,1510,1515,1509,1503,1510,1463.0,1595.0,1687.0,1665.0,1688.0,1685.0,
53,SA,TOTAL,M,THS_PER,EU27_2007,7998,7893,7912,7954,7931,,,,,,,
54,SA,TOTAL,M,THS_PER,EU27_2020,7345,7258,7296,7306,7244,7159.0,7150.0,7433.0,7533.0,7769.0,7920.0,
55,SA,TOTAL,M,THS_PER,EU28,8056,7950,7970,8011,7989,,,,,,,
56,SA,TOTAL,M,THS_PER,FI,105,105,103,102,101,101.0,103.0,107.0,111.0,115.0,117.0,
57,SA,TOTAL,M,THS_PER,FR,1290,1279,1268,1263,1218,1143.0,1125.0,1214.0,1069.0,1004.0,1045.0,
58,SA,TOTAL,M,THS_PER,HR,57,57,57,57,58,57.0,62.0,75.0,82.0,81.0,79.0,
59,SA,TOTAL,M,THS_PER,HU,86,86,84,83,84,88.0,89.0,103.0,112.0,119.0,,
60,SA,TOTAL,M,THS_PER,IE,67,64,64,66,69,68.0,68.0,64.0,62.0,61.0,63.0,64.0
61,SA,TOTAL,M,THS_PER,IS,4,4,4,4,4,4.0,4.0,4.0,5.0,5.0,6.0,
62,SA,TOTAL,M,THS_PER,IT,1304,1244,1250,1285,1244,1241.0,1089.0,991.0,1114.0,1231.0,1286.0,
63,SA,TOTAL,M,THS_PER,JP,990,960,900,900,940,990.0,1040.0,1110.0,1220.0,1190.0,1140.0,
64,SA,TOTAL,M,THS_PER,LT,56,54,55,54,50,52.0,55.0,66.0,72.0,73.0,77.0,
65,SA,TOTAL,M,THS_PER,LU,9,9,9,9,10,10.0,11.0,13.0,13.0,13.0,12.0,
66,SA,TOTAL,M,THS_PER,LV,31,30,31,36,39,39.0,40.0,46.0,49.0,51.0,51.0,
67,SA,TOTAL,M,THS_PER,MT,5,5,5,6,6,6.0,7.0,7.0,7.0,6.0,6.0,
68,SA,TOTAL,M,THS_PER,NL,175,178,182,167,153,143.0,146.0,174.0,176.0,208.0,207.0,
69,SA,TOTAL,M,THS_PER,NO,64,63,65,63,61,56.0,56.0,63.0,72.0,84.0,,
70,SA,TOTAL,M,THS_PER,PL,264,259,257,257,272,280.0,278.0,290.0,299.0,298.0,287.0,
71,SA,TOTAL,M,THS_PER,PT,157,155,155,163,169,155.0,143.0,134.0,144.0,180.0,201.0,
72,SA,TOTAL,M,THS_PER,RO,235,227,238,245,198,256.0,273.0,276.0,288.0,284.0,313.0,
73,SA,TOTAL,M,THS_PER,SE,196,190,209,192,221,212.0,192.0,241.0,236.0,274.0,275.0,
74,SA,TOTAL,M,THS_PER,SI,25,22,19,17,20,21.0,21.0,23.0,23.0,23.0,23.0,
