,s_adj,age,sex,unit,geo,2019m09,2019m10,2019m11,2019m12,2020m01,2020m02,2020m03,2020m04,2020m05,2020m06,2020m07,2020m08
0,SA,Y_LT25,F,THS_PER,AT,19,18,18,19,21.0,23.0,23.0,24.0,24.0,23.0,22.0,
1,SA,Y_LT25,F,THS_PER,BE,23,24,24,24,24.0,24.0,24.0,26.0,26.0,26.0,,
2,SA,Y_LT25,F,THS_PER,BG,4,4,4,4,6.0,6.0,6.0,8.0,7.0,6.0,6.0,
3,SA,Y_LT25,F,THS_PER,CH,24,24,24,23,20.0,19.0,20.0,22.0,23.0,22.0,,
4,SA,Y_LT25,F,THS_PER,CY,3,3,3,3,2.0,2.0,2.0,3.0,3.0,3.0,,
5,SA,Y_LT25,F,THS_PER,CZ,7,7,6,6,6.0,7.0,9.0,8.0,10.0,10.0,12.0,
6,SA,Y_LT25,F,THS_PER,DE,92,94,98,102,106.0,110.0,112.0,114.0,114.0,112.0,109.0,
7,SA,Y_LT25,F,THS_PER,DK,20,22,22,22,,,,,,,,
8,SA,Y_LT25,F,THS_PER,EA,989,986,984,981,1011.0,996.0,988.0,1020.0,1025.0,1056.0,1068.0,
9,SA,Y_LT25,F,THS_PER,EA18,984,980,979,975,1005.0,989.0,981.0,1012.0,1017.0,1047.0,1061.0,
10,SA,Y_LT25,F,THS_PER,EA19,989,986,984,981,1011.0,996.0,988.0,1020.0,1025.0,1056.0,1068.0,
11,SA,Y_LT25,F,THS_PER,EE,2,2,3,3,2.0,2.0,2.0,3.0,5.0,6.0,,
12,SA,Y_LT25,F,THS_PER,EL,41,42,42,36,39.0,40.0,31.0,40.0,39.0,40.0,,
13,SA,Y_LT25,F,THS_PER,ES,242,226,217,219,223.0,218.0,225.0,229.0,225.0,243.0,237.0,
14,SA,Y_LT25,F,THS_PER,EU27_2007,1387,1353,1357,1349,1382.0,,,,,,,
15,SA,Y_LT25,F,THS_PER,EU27_2020,1203,1183,1185,1167,1201.0,1196.0,1195.0,1247.0,1281.0,1309.0,1320.0,
16,SA,Y_LT25,F,THS_PER,EU28,1398,1364,1368,1359,1393.0,,,,,,,
17,SA,Y_LT25,F,THS_PER,FI,27,27,27,28,28.0,28.0,28.0,28.0,29.0,29.0,29.0,
18,SA,Y_LT25,F,THS_PER,FR,234,239,242,244,253.0,242.0,238.0,268.0,244.0,234.0,234.0,
19,SA,Y_LT25,F,THS_PER,HR,11,11,11,11,11.0,11.0,11.0,16.0,16.0,16.0,,
20,SA,Y_LT25,F,THS_PER,HU,15,17,15,13,13.0,14.0,19.0,21.0,28.0,25.0,,
21,SA,Y_LT25,F,THS_PER,IE,14,14,14,15,15.0,15.0,16.0,17.0,19.0,21.0,23.0,24.0
22,SA,Y_LT25,F,THS_PER,IS,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23,SA,Y_LT25,F,THS_PER,IT,179,182,182,182,,,,,,,,
24,SA,Y_LT25,F,THS_PER,LT,5,5,6,6,6.0,6.0,7.0,8.0,8.0,9.0,7.0,
25,SA,Y_LT25,F,THS_PER,LU,2,2,2,2,2.0,2.0,2.0,3.0,3.0,3.0,3.0,
26,SA,Y_LT25,F,THS_PER,LV,3,3,3,3,3.0,3.0,3.0,4.0,4.0,4.0,4.0,
27,SA,Y_LT25,F,THS_PER,MT,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
28,SA,Y_LT25,F,THS_PER,NL,47,48,47,44,45.0,46.0,43.0,52.0,62.0,73.0,81.0,
