,unit,age,sex,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
211,PC,Y_GE15,F,NO04,1.7,1.7,2.0,2.3,2.8,2.9,2.7,4.2,4.6,4.6,4.1,3.7
212,PC,Y_GE15,F,NO05,2.0,2.3,3.0,3.1,2.5,2.9,3.0,3.7,3.5,3.1,3.4,3.1
213,PC,Y_GE15,F,NO06,3.6,3.4,3.3,3.5,2.6,2.5,3.5,3.5,3.8,,,
214,PC,Y_GE15,F,NO07,2.1,3.4,3.3,2.8,2.4,3.0,3.4,2.4,2.2,,,
215,PC,Y_GE15,F,PL21,7.2,8.3,9.8,10.2,11.7,11.6,9.8,7.4,5.6,3.4,2.9,3.2
216,PC,Y_GE15,F,PL22,7.5,7.8,10.5,10.9,10.7,11.1,9.4,7.4,5.6,4.0,3.4,2.9
217,PC,Y_GE15,F,PL41,8.0,9.5,10.1,10.5,10.9,11.4,9.4,6.7,5.3,3.2,2.4,3.1
218,PC,Y_GE15,F,PL42,10.2,10.8,11.5,11.7,10.6,9.5,7.9,7.5,7.3,4.3,4.0,3.7
219,PC,Y_GE15,F,PL43,7.3,9.3,10.8,9.8,9.9,10.7,9.2,6.6,5.0,3.5,,
220,PC,Y_GE15,F,PL51,10.3,10.3,11.4,10.5,11.6,12.2,9.5,7.3,5.7,5.5,3.5,3.5
221,PC,Y_GE15,F,PL52,7.3,10.7,10.5,10.4,10.5,10.5,9.0,7.3,5.4,5.0,3.8,3.6
222,PC,Y_GE15,F,PL61,10.2,10.6,11.8,13.0,13.8,14.3,12.5,8.9,7.8,5.3,4.7,5.0
223,PC,Y_GE15,F,PL62,9.0,10.0,10.7,11.6,12.3,12.3,10.0,10.5,8.8,7.9,5.5,4.3
224,PC,Y_GE15,F,PL63,6.7,6.8,9.5,9.1,10.6,10.2,8.5,6.2,6.1,4.4,3.0,3.4
225,PC,Y_GE15,F,PL71,7.5,8.1,9.6,9.7,11.3,11.7,9.2,7.7,5.5,4.3,4.4,3.6
226,PC,Y_GE15,F,PL72,8.8,10.0,11.9,13.9,13.7,13.5,10.6,9.8,8.8,6.7,5.3,3.8
227,PC,Y_GE15,F,PL81,8.8,9.2,9.4,10.1,10.4,10.6,10.6,9.5,7.5,6.7,6.5,5.6
228,PC,Y_GE15,F,PL82,9.0,11.0,12.2,13.6,14.0,14.5,14.6,12.4,9.4,9.2,6.9,6.1
229,PC,Y_GE15,F,PL84,6.6,7.1,9.5,9.5,9.7,10.1,9.6,6.8,6.8,5.3,3.7,3.4
230,PC,Y_GE15,F,PL91,,,,,,6.0,6.1,4.9,3.8,3.3,1.9,1.6
231,PC,Y_GE15,F,PL92,,,,,,11.3,10.0,7.9,6.9,6.7,5.2,5.0
232,PC,Y_GE15,F,PT11,9.9,12.2,14.7,14.4,16.8,18.0,16.1,14.3,12.6,10.7,7.8,7.5
233,PC,Y_GE15,F,PT15,9.0,11.6,13.6,14.8,16.9,15.8,14.0,11.6,8.4,6.9,6.1,7.1
234,PC,Y_GE15,F,PT16,6.9,7.1,8.5,10.9,12.7,11.8,11.0,9.8,8.9,7.4,6.3,5.6
235,PC,Y_GE15,F,PT17,8.4,9.9,11.4,12.9,15.8,17.9,14.7,13.0,11.2,9.7,7.8,7.9
236,PC,Y_GE15,F,PT18,11.6,11.9,13.5,13.4,16.7,18.1,14.3,14.4,13.1,8.9,7.5,7.1
237,PC,Y_GE15,F,PT20,,,,10.8,13.5,13.7,16.5,10.8,9.8,8.2,9.0,8.5
238,PC,Y_GE15,F,PT30,,,,12.0,14.8,16.6,14.1,14.0,11.9,10.5,8.3,7.1
239,PC,Y_GE15,F,RO11,2.8,5.1,6.1,4.9,4.4,4.2,3.9,4.5,3.5,3.2,2.7,2.9
240,PC,Y_GE15,F,RO12,7.0,8.8,9.7,10.1,9.1,8.8,9.4,6.9,4.1,3.1,2.9,3.8
241,PC,Y_GE15,F,RO21,3.5,5.0,5.0,4.3,3.4,3.9,3.3,3.3,2.8,2.3,2.3,2.2
242,PC,Y_GE15,F,RO22,6.1,6.7,7.5,8.7,8.4,8.1,9.4,8.2,6.5,5.2,5.5,6.4
243,PC,Y_GE15,F,RO31,6.5,8.0,7.4,9.8,9.1,8.8,8.1,9.3,9.1,6.3,5.4,4.8
244,PC,Y_GE15,F,RO32,2.5,3.6,4.1,5.3,5.9,7.2,7.0,4.2,3.8,3.2,3.0,1.7
245,PC,Y_GE15,F,RO41,4.6,4.7,4.9,4.3,4.0,4.9,4.7,6.7,7.3,6.9,4.5,4.0
246,PC,Y_GE15,F,RO42,4.5,4.5,5.5,5.2,5.5,5.4,4.1,5.0,3.6,2.8,,2.4
247,PC,Y_GE15,F,RS11,,,,,,18.0,17.3,19.2,15.4,13.0,11.6,9.3
248,PC,Y_GE15,F,RS12,,,,,,25.3,19.3,16.5,15.9,12.9,11.4,9.5
249,PC,Y_GE15,F,RS21,,,,,,25.1,20.7,18.6,16.1,15.0,15.3,12.3
250,PC,Y_GE15,F,RS22,,,,,,26.4,25.0,21.1,17.4,16.7,17.0,13.8
251,PC,Y_GE15,F,SE11,5.3,6.5,7.5,6.7,6.8,6.9,7.2,7.3,6.7,6.5,5.4,6.0
252,PC,Y_GE15,F,SE12,7.8,9.4,10.0,8.6,8.4,8.7,8.3,7.8,7.4,7.4,7.6,7.3
253,PC,Y_GE15,F,SE21,5.4,7.1,7.8,7.3,7.5,7.0,6.4,5.7,6.3,5.5,6.3,7.4
254,PC,Y_GE15,F,SE22,8.3,8.6,8.8,9.1,9.2,9.5,9.2,9.1,7.1,7.4,7.8,9.1
255,PC,Y_GE15,F,SE23,6.0,8.3,8.3,7.3,7.2,7.9,7.6,6.6,5.8,5.7,5.5,6.4
256,PC,Y_GE15,F,SE31,7.5,9.0,9.0,8.5,8.4,9.0,8.3,7.0,6.7,6.5,6.0,7.1
257,PC,Y_GE15,F,SE32,6.9,7.4,10.0,8.1,7.0,6.3,7.2,7.2,6.7,5.7,5.5,5.4
258,PC,Y_GE15,F,SE33,5.9,7.9,8.3,6.9,6.8,6.0,6.4,6.4,5.0,4.8,5.6,6.7
259,PC,Y_GE15,F,SI01,6.2,7.4,,,,,,,,,,
260,PC,Y_GE15,F,SI02,3.3,4.0,,,,,,,,,,
261,PC,Y_GE15,F,SI03,,,8.0,9.6,10.6,12.4,12.5,11.9,10.2,8.2,5.9,5.7
262,PC,Y_GE15,F,SI04,,,5.9,6.5,8.0,9.2,8.4,8.0,6.8,6.6,5.4,4.1
263,PC,Y_GE15,F,SK01,3.4,3.8,5.1,5.0,5.8,6.5,6.4,6.2,6.6,3.5,2.0,2.2
264,PC,Y_GE15,F,SK02,8.5,11.5,13.9,11.9,13.0,13.2,11.6,11.4,8.8,6.2,4.8,4.2
265,PC,Y_GE15,F,SK03,14.1,15.4,16.8,15.3,15.5,16.0,16.1,13.9,11.0,9.7,7.6,6.1
266,PC,Y_GE15,F,SK04,15.3,17.0,18.3,18.6,19.9,18.6,17.3,17.0,15.1,12.6,11.8,9.8
267,PC,Y_GE15,F,TR10,11.9,18.9,16.5,14.5,13.6,13.9,15.6,17.0,17.2,18.4,15.4,18.8
268,PC,Y_GE15,F,TR21,13.0,15.5,10.7,12.6,9.9,9.6,11.4,11.1,11.9,13.1,12.5,15.8
269,PC,Y_GE15,F,TR22,7.4,8.2,6.2,5.1,5.8,6.7,6.4,6.6,10.0,9.1,8.7,11.4
270,PC,Y_GE15,F,TR31,13.2,16.9,18.0,19.7,18.8,20.8,19.9,20.4,19.0,18.7,19.1,20.9
271,PC,Y_GE15,F,TR32,11.1,16.3,12.3,8.9,7.9,7.5,8.0,8.1,8.6,9.5,9.6,11.4
272,PC,Y_GE15,F,TR33,6.6,8.5,6.6,4.4,3.9,6.1,5.2,4.5,7.5,8.4,9.0,11.7
273,PC,Y_GE15,F,TR41,12.2,15.0,10.5,9.3,9.6,8.7,8.8,10.3,11.8,12.3,13.0,13.7
274,PC,Y_GE15,F,TR42,12.1,15.1,13.7,13.4,11.6,12.4,13.6,13.6,14.8,14.9,14.1,16.6
275,PC,Y_GE15,F,TR51,14.9,14.6,14.1,10.8,12.1,14.6,16.9,17.3,16.4,15.4,14.6,19.8
276,PC,Y_GE15,F,TR52,11.9,9.5,7.8,6.8,6.5,4.4,7.2,9.3,8.9,6.8,7.2,9.4
277,PC,Y_GE15,F,TR61,9.9,11.6,11.1,10.7,9.2,9.0,11.4,12.7,15.7,15.7,15.9,16.5
278,PC,Y_GE15,F,TR62,17.7,23.2,17.0,11.6,11.2,15.0,13.9,13.5,13.0,14.4,14.2,14.7
279,PC,Y_GE15,F,TR63,12.5,11.4,9.4,8.6,7.7,10.0,18.1,22.1,19.8,15.4,18.5,22.3
280,PC,Y_GE15,F,TR71,5.6,8.7,7.5,6.9,5.5,5.9,7.0,13.4,19.9,18.4,16.3,17.0
281,PC,Y_GE15,F,TR72,10.6,11.3,16.9,10.8,6.6,9.5,11.8,12.3,11.3,17.7,18.7,18.9
282,PC,Y_GE15,F,TR81,3.6,5.0,8.6,6.7,7.3,8.0,6.4,8.9,11.1,8.3,12.0,13.0
283,PC,Y_GE15,F,TR82,4.5,9.4,9.7,6.0,5.0,7.5,8.2,8.2,6.7,5.8,7.1,10.0
284,PC,Y_GE15,F,TR83,4.9,4.9,5.6,5.2,5.8,6.6,6.4,7.6,9.5,8.6,7.7,8.7
285,PC,Y_GE15,F,TR90,4.0,3.3,3.1,3.9,3.0,4.6,6.1,4.5,4.4,3.9,6.6,11.3
286,PC,Y_GE15,F,TRA1,2.5,2.6,2.9,2.5,3.1,4.1,4.9,2.8,3.2,5.1,7.1,8.4
287,PC,Y_GE15,F,TRA2,0.7,2.0,2.5,2.7,2.2,4.0,1.2,3.3,5.3,4.8,4.6,6.8
288,PC,Y_GE15,F,TRB1,13.2,11.4,9.6,7.3,5.5,5.1,9.6,9.1,11.4,11.1,10.0,11.4
289,PC,Y_GE15,F,TRB2,6.9,6.4,11.3,7.7,3.6,3.6,6.6,3.6,4.6,9.8,20.1,26.6
290,PC,Y_GE15,F,TRC1,5.2,7.9,8.8,11.4,9.0,6.3,7.9,10.4,19.2,17.5,12.1,15.5
291,PC,Y_GE15,F,TRC2,3.4,7.6,2.5,1.9,,10.9,10.5,11.6,12.2,11.2,18.4,18.1
292,PC,Y_GE15,F,TRC3,10.5,9.6,6.1,8.6,16.1,17.5,24.5,25.2,32.9,36.2,32.9,42.1
293,PC,Y_GE15,F,UKC1,7.3,7.4,8.0,10.8,10.7,10.9,10.6,8.2,6.8,4.3,4.8,5.1
294,PC,Y_GE15,F,UKC2,6.3,6.9,8.1,9.1,6.8,8.2,7.7,6.7,6.2,5.5,4.8,5.0
295,PC,Y_GE15,F,UKD1,,5.5,6.0,6.4,6.0,4.4,4.0,4.0,,,,
296,PC,Y_GE15,F,UKD3,6.7,8.2,8.0,8.3,8.5,7.9,7.4,6.5,5.6,3.7,3.8,5.2
297,PC,Y_GE15,F,UKD4,4.5,5.4,4.8,5.8,6.0,7.3,5.4,5.2,3.2,3.6,4.5,3.1
298,PC,Y_GE15,F,UKD6,3.6,6.6,5.2,5.3,5.5,5.4,3.6,4.2,3.9,3.0,2.9,3.0
299,PC,Y_GE15,F,UKD7,7.1,5.8,7.6,9.1,8.7,7.6,6.6,4.6,4.2,5.0,4.0,3.1
300,PC,Y_GE15,F,UKE1,4.7,7.0,7.4,7.4,8.1,8.3,8.7,7.3,5.4,3.8,6.7,4.2
301,PC,Y_GE15,F,UKE2,,4.2,5.5,6.5,4.0,2.9,4.6,2.1,3.1,3.7,3.1,2.3
302,PC,Y_GE15,F,UKE3,6.9,7.6,7.2,8.9,8.8,10.6,9.9,6.6,6.0,5.3,5.5,5.0
303,PC,Y_GE15,F,UKE4,5.9,7.6,8.3,7.7,8.7,7.9,6.5,5.6,5.2,4.1,4.9,5.1
304,PC,Y_GE15,F,UKF1,5.0,5.6,8.3,9.1,8.0,6.4,4.7,4.4,4.2,3.6,3.9,3.6
305,PC,Y_GE15,F,UKF2,5.3,6.3,6.8,8.1,7.7,8.0,6.0,4.3,4.9,4.7,4.2,3.7
306,PC,Y_GE15,F,UKF3,7.3,6.5,4.6,5.9,7.4,5.6,4.2,4.9,5.4,3.4,5.4,4.3
307,PC,Y_GE15,F,UKG1,4.2,5.3,4.9,5.4,4.0,4.2,4.6,3.7,4.0,3.1,2.7,2.5
308,PC,Y_GE15,F,UKG2,3.8,5.7,6.6,7.1,6.3,5.5,4.9,4.6,3.8,5.6,4.0,3.1
309,PC,Y_GE15,F,UKG3,7.5,9.9,9.6,10.4,11.3,12.9,8.5,7.2,8.0,7.0,6.6,6.1
310,PC,Y_GE15,F,UKH1,4.3,5.3,5.7,5.6,5.8,5.3,4.6,4.5,3.8,3.5,3.5,2.7
311,PC,Y_GE15,F,UKH2,4.2,4.7,6.1,6.9,6.6,6.1,3.4,2.7,4.1,3.5,3.3,2.8
312,PC,Y_GE15,F,UKH3,4.7,7.3,6.7,6.3,7.2,6.4,6.2,4.3,4.4,4.2,2.8,3.4
313,PC,Y_GE15,F,UKI1,8.3,9.8,,,,,,,,,,
314,PC,Y_GE15,F,UKI2,6.5,8.5,,,,,,,,,,
315,PC,Y_GE15,F,UKI3,,,8.6,8.5,5.4,6.3,5.8,5.6,5.3,7.2,5.2,4.5
316,PC,Y_GE15,F,UKI4,,,11.2,11.9,10.5,10.1,8.0,7.2,8.5,5.5,4.8,3.8
317,PC,Y_GE15,F,UKI5,,,10.0,10.9,10.1,9.8,9.1,9.2,5.7,6.3,4.9,3.8
318,PC,Y_GE15,F,UKI6,,,6.4,8.3,6.8,7.3,6.8,5.4,4.2,4.4,4.4,4.5
319,PC,Y_GE15,F,UKI7,,,8.1,7.9,10.5,8.9,6.2,5.2,5.0,5.1,4.7,3.7
320,PC,Y_GE15,F,UKJ1,3.9,4.6,5.5,5.7,6.3,4.6,4.7,3.7,2.9,2.9,3.4,2.9
321,PC,Y_GE15,F,UKJ2,4.2,4.9,5.3,5.0,6.2,5.5,4.9,3.6,3.6,3.3,3.6,2.1
322,PC,Y_GE15,F,UKJ3,3.5,5.3,5.1,5.0,6.3,5.4,4.2,3.8,4.3,3.3,2.6,3.4
323,PC,Y_GE15,F,UKJ4,5.1,5.4,5.9,8.4,7.9,6.9,5.7,6.2,4.2,3.9,4.5,3.4
324,PC,Y_GE15,F,UKK1,3.4,4.8,5.2,5.7,5.4,5.7,4.5,3.9,3.2,4.2,3.0,2.6
325,PC,Y_GE15,F,UKK2,3.7,5.2,5.0,6.2,4.2,4.9,3.1,4.3,4.7,2.8,3.3,2.5
326,PC,Y_GE15,F,UKK3,5.9,4.9,9.0,5.5,3.7,4.9,,3.9,3.4,,,
327,PC,Y_GE15,F,UKK4,3.1,5.9,5.3,5.0,6.2,6.2,5.2,4.7,3.6,4.6,2.9,2.0
328,PC,Y_GE15,F,UKL1,5.2,6.7,7.3,7.7,8.5,7.1,5.6,5.8,4.3,4.5,4.5,3.7
329,PC,Y_GE15,F,UKL2,4.9,5.7,6.6,4.7,7.9,7.3,5.6,2.8,2.9,3.8,2.2,3.3
330,PC,Y_GE15,F,UKM2,4.4,6.5,7.0,5.3,7.6,,,,,,,
331,PC,Y_GE15,F,UKM3,4.7,5.4,7.9,9.0,8.1,,,,,,,
332,PC,Y_GE15,F,UKM5,,4.4,4.0,5.0,5.0,5.6,4.7,3.0,5.0,3.9,,4.2
333,PC,Y_GE15,F,UKM6,,4.9,5.6,6.7,5.5,,,,,,,
334,PC,Y_GE15,F,UKM7,,,,,,7.1,5.0,5.6,3.9,3.1,3.1,3.3
335,PC,Y_GE15,F,UKM8,,,,,,7.4,6.5,6.0,5.0,4.4,4.7,3.5
336,PC,Y_GE15,F,UKM9,,,,,,7.4,4.4,5.0,4.9,4.1,2.3,2.9
337,PC,Y_GE15,F,UKN0,2.7,4.2,4.5,5.2,5.2,5.1,4.7,5.1,4.4,3.2,2.5,2.4
338,PC,Y_GE15,M,AT11,,4.6,,,4.3,4.1,4.8,4.7,5.6,4.7,,
339,PC,Y_GE15,M,AT12,3.2,4.8,4.1,4.5,4.5,4.8,5.2,5.5,5.7,5.3,4.1,4.0
340,PC,Y_GE15,M,AT13,7.7,9.8,9.2,8.6,9.9,9.8,11.2,12.2,12.8,11.7,11.1,10.1
341,PC,Y_GE15,M,AT21,3.0,4.5,4.2,4.0,4.9,5.3,6.1,6.2,4.9,4.8,3.8,3.2
342,PC,Y_GE15,M,AT22,3.7,5.3,4.3,3.6,3.7,4.5,4.9,4.7,5.1,4.9,3.6,3.0
343,PC,Y_GE15,M,AT31,2.3,4.0,4.0,3.2,3.3,4.3,3.8,4.2,4.6,4.2,3.0,2.9
344,PC,Y_GE15,M,AT32,2.5,3.4,2.7,2.6,2.9,3.5,3.7,3.6,3.9,3.4,2.8,2.6
345,PC,Y_GE15,M,AT33,2.3,3.2,3.4,2.6,2.5,2.9,3.6,3.0,3.6,2.7,2.4,2.1
346,PC,Y_GE15,M,AT34,3.6,5.5,4.4,3.3,3.5,3.7,3.5,3.3,3.3,3.8,2.9,3.2
347,PC,Y_GE15,M,BE10,15.4,15.8,16.8,18.1,17.9,21.0,20.1,18.5,17.4,14.9,14.3,12.6
348,PC,Y_GE15,M,BE21,4.5,5.5,6.3,5.9,5.6,6.2,6.0,6.5,6.4,5.2,4.6,3.8
349,PC,Y_GE15,M,BE22,3.7,5.4,5.4,4.0,4.2,5.6,5.9,7.1,4.5,3.7,3.7,3.5
350,PC,Y_GE15,M,BE23,3.4,4.1,5.7,3.6,3.8,4.0,4.3,4.8,4.3,3.3,2.7,3.3
351,PC,Y_GE15,M,BE24,4.4,5.2,4.7,3.2,4.6,5.1,5.1,5.3,5.2,4.3,4.2,3.6
352,PC,Y_GE15,M,BE25,2.3,4.5,3.2,3.3,3.9,4.1,4.2,4.9,3.9,2.9,2.1,2.1
353,PC,Y_GE15,M,BE31,6.2,6.6,7.7,6.3,6.2,8.6,8.5,7.9,7.6,8.4,7.6,5.9
354,PC,Y_GE15,M,BE32,9.9,12.3,12.9,10.7,11.9,13.5,16.1,14.4,12.3,11.9,10.3,9.9
355,PC,Y_GE15,M,BE33,9.7,11.6,11.5,9.4,11.5,11.3,13.2,13.1,11.4,11.4,9.0,7.6
356,PC,Y_GE15,M,BE34,6.4,7.0,7.1,5.0,7.7,7.5,7.7,8.5,6.8,6.9,5.4,5.9
357,PC,Y_GE15,M,BE35,7.7,9.1,8.6,8.0,7.0,10.1,8.5,11.2,9.8,8.3,8.1,8.3
358,PC,Y_GE15,M,BG31,7.6,8.3,12.4,14.0,13.3,16.0,16.6,13.5,10.7,12.0,13.0,12.0
359,PC,Y_GE15,M,BG32,8.7,8.5,12.8,13.8,16.7,16.5,14.5,11.2,10.1,7.7,7.4,5.5
360,PC,Y_GE15,M,BG33,7.4,10.6,14.9,16.1,19.1,17.1,13.0,9.7,9.3,8.3,7.1,5.4
361,PC,Y_GE15,M,BG34,5.6,6.2,10.6,12.2,12.6,13.0,11.7,10.6,7.9,7.2,5.9,4.5
362,PC,Y_GE15,M,BG41,2.9,4.3,7.2,8.6,9.0,10.9,10.1,7.9,6.3,3.4,2.9,2.5
363,PC,Y_GE15,M,BG42,4.9,7.6,12.2,13.8,15.7,14.6,12.4,9.6,8.0,5.7,4.6,3.2
364,PC,Y_GE15,M,CH01,4.3,5.9,6.7,6.4,7.3,7.2,7.2,7.5,7.7,7.5,7.4,7.3
365,PC,Y_GE15,M,CH02,2.8,3.1,4.3,3.4,3.4,3.9,4.2,4.5,4.6,3.6,4.0,3.9
366,PC,Y_GE15,M,CH03,2.3,4.1,4.5,4.4,4.6,4.4,5.0,4.3,4.6,4.4,3.8,2.9
367,PC,Y_GE15,M,CH04,2.8,3.6,3.9,4.0,3.3,4.6,4.4,4.0,3.8,4.7,4.0,3.4
368,PC,Y_GE15,M,CH05,1.9,3.0,3.6,2.8,3.4,3.5,3.0,3.5,3.9,4.0,3.2,3.2
369,PC,Y_GE15,M,CH06,1.7,2.0,2.8,2.5,2.5,2.4,3.1,3.1,3.5,2.1,2.3,2.5
370,PC,Y_GE15,M,CH07,4.3,4.8,5.9,5.6,6.8,7.3,6.4,6.4,6.5,5.3,6.0,6.1
371,PC,Y_GE15,M,CY00,3.2,5.3,6.1,8.1,12.5,16.5,17.0,15.0,12.6,10.9,8.0,6.3
372,PC,Y_GE15,M,CZ01,1.6,3.0,3.5,3.4,2.9,3.2,2.3,2.4,2.4,1.4,0.8,1.2
373,PC,Y_GE15,M,CZ02,2.3,3.9,4.4,4.3,3.8,4.6,4.4,2.9,2.4,1.6,1.3,1.2
374,PC,Y_GE15,M,CZ03,2.1,4.6,4.8,4.5,4.2,3.9,4.0,3.0,2.4,1.6,1.3,1.2
375,PC,Y_GE15,M,CZ04,7.2,8.7,9.3,8.6,9.0,8.1,7.4,6.2,4.8,2.8,3.2,2.5
376,PC,Y_GE15,M,CZ05,3.0,6.2,5.8,5.6,7.0,6.7,4.9,4.3,3.6,2.1,1.6,1.5
377,PC,Y_GE15,M,CZ06,3.0,5.7,7.0,6.0,6.6,5.7,5.2,4.1,2.9,2.3,1.6,1.3
378,PC,Y_GE15,M,CZ07,4.0,6.4,7.3,6.5,6.4,7.4,5.8,4.3,3.7,3.3,2.0,2.1
379,PC,Y_GE15,M,CZ08,5.1,8.8,9.6,7.8,8.5,8.0,7.4,7.2,5.3,3.9,3.2,3.4
380,PC,Y_GE15,M,DE11,3.7,5.0,4.8,3.5,3.2,3.6,3.3,3.4,3.4,3.0,2.6,2.7
381,PC,Y_GE15,M,DE12,4.6,5.9,5.2,4.2,4.2,3.7,3.8,3.4,3.0,3.3,3.0,2.8
382,PC,Y_GE15,M,DE13,3.3,4.7,3.9,3.1,3.0,2.9,3.1,2.8,3.0,3.1,3.0,2.3
383,PC,Y_GE15,M,DE14,3.1,4.9,4.7,2.8,2.4,2.7,2.8,3.2,2.7,2.3,2.0,2.1
384,PC,Y_GE15,M,DE21,3.2,4.5,3.8,2.6,2.6,2.5,2.6,2.9,2.4,2.4,2.6,2.0
385,PC,Y_GE15,M,DE22,3.3,5.0,4.0,2.6,3.2,3.0,2.7,2.5,2.2,2.4,2.2,2.2
386,PC,Y_GE15,M,DE23,4.2,4.9,3.9,3.7,3.0,3.0,3.1,2.8,2.8,2.5,1.9,2.4
387,PC,Y_GE15,M,DE24,5.6,6.6,5.6,4.2,3.6,4.2,4.0,3.9,3.6,3.1,2.1,2.6
388,PC,Y_GE15,M,DE25,5.5,6.1,5.5,4.1,3.5,3.1,3.0,3.0,2.8,2.0,2.0,2.0
389,PC,Y_GE15,M,DE26,3.8,5.5,5.0,3.0,2.9,3.0,2.5,3.0,2.5,2.4,1.8,1.9
390,PC,Y_GE15,M,DE27,3.5,4.7,3.7,2.8,2.8,3.0,2.8,2.7,2.4,2.1,2.1,2.4
391,PC,Y_GE15,M,DE30,16.6,15.6,14.2,12.7,11.4,11.5,11.0,10.6,8.4,7.4,6.6,5.7
392,PC,Y_GE15,M,DE40,11.6,12.2,10.5,9.4,8.3,7.9,6.9,5.9,5.5,5.3,5.0,4.1
393,PC,Y_GE15,M,DE50,11.1,11.0,9.7,8.9,7.4,7.1,7.4,6.2,6.0,5.2,5.3,6.5
394,PC,Y_GE15,M,DE60,7.6,8.4,7.5,5.6,5.7,5.4,5.2,4.7,4.5,4.5,4.5,4.0
395,PC,Y_GE15,M,DE71,6.0,6.4,6.1,4.8,4.9,4.8,4.7,4.3,4.2,4.0,3.5,3.2
396,PC,Y_GE15,M,DE72,6.6,6.9,6.0,4.7,4.8,4.5,4.7,4.2,4.1,4.1,4.1,3.9
397,PC,Y_GE15,M,DE73,7.4,6.8,5.7,4.2,5.1,4.4,4.5,4.4,3.7,2.6,3.8,3.3
398,PC,Y_GE15,M,DE80,14.8,14.7,13.8,10.3,11.3,11.0,10.5,8.0,6.7,5.5,5.6,4.4
399,PC,Y_GE15,M,DE91,8.4,8.8,7.3,6.2,6.2,7.2,6.1,5.6,5.2,5.1,4.4,3.6
400,PC,Y_GE15,M,DE92,8.3,8.7,7.7,7.1,5.7,5.5,5.6,5.2,5.7,4.9,4.7,4.4
401,PC,Y_GE15,M,DE93,6.3,5.5,5.5,4.9,4.2,4.7,4.3,3.8,3.4,3.7,2.4,3.1
402,PC,Y_GE15,M,DE94,6.0,6.0,6.7,4.2,4.6,4.1,4.4,3.8,4.1,3.3,3.1,3.2
403,PC,Y_GE15,M,DEA1,7.7,8.5,8.5,7.7,7.1,7.2,6.8,6.6,5.7,5.1,5.0,4.4
404,PC,Y_GE15,M,DEA2,7.0,7.6,7.3,6.4,6.0,6.4,5.8,5.3,4.4,4.4,4.5,4.1
405,PC,Y_GE15,M,DEA3,6.7,8.0,7.3,5.8,5.4,5.4,5.6,4.8,4.8,4.5,4.3,3.9
406,PC,Y_GE15,M,DEA4,6.9,8.3,7.7,5.6,4.9,5.2,5.2,5.1,4.6,4.4,3.4,3.3
407,PC,Y_GE15,M,DEA5,8.5,9.9,9.3,7.9,7.0,7.3,6.2,6.4,5.5,5.3,4.7,4.4
408,PC,Y_GE15,M,DEB1,5.1,6.8,5.2,4.2,4.1,3.7,4.2,3.3,3.6,3.5,2.9,2.6
409,PC,Y_GE15,M,DEB2,5.0,4.8,4.7,3.9,,3.3,3.5,,,,,
410,PC,Y_GE15,M,DEB3,5.8,6.1,6.2,5.1,4.1,4.5,4.2,4.6,4.4,4.1,4.2,3.7
411,PC,Y_GE15,M,DEC0,7.3,8.4,7.5,6.2,6.2,6.4,6.2,6.6,5.4,5.3,4.1,4.1
412,PC,Y_GE15,M,DED2,12.9,12.5,10.9,9.3,7.5,7.5,7.6,6.9,5.5,4.5,4.3,3.5
413,PC,Y_GE15,M,DED4,11.8,12.1,11.7,8.8,7.7,6.8,6.2,5.6,4.3,3.8,3.9,4.1
414,PC,Y_GE15,M,DED5,15.3,13.6,12.9,11.1,10.0,9.7,9.1,8.6,6.3,5.5,5.1,5.0
415,PC,Y_GE15,M,DEE0,13.7,14.0,11.9,10.7,9.3,8.9,9.2,8.4,7.5,7.5,5.9,5.0
416,PC,Y_GE15,M,DEF0,6.8,7.6,7.4,6.5,5.5,5.3,5.0,4.8,4.4,4.2,3.6,3.3
417,PC,Y_GE15,M,DEG0,9.6,10.7,8.2,7.7,6.8,5.8,5.9,5.8,5.2,4.6,4.1,4.0
418,PC,Y_GE15,M,DK01,3.9,7.2,8.6,8.3,8.3,7.4,7.4,6.7,6.0,6.0,5.2,4.9
419,PC,Y_GE15,M,DK02,3.1,6.5,8.2,7.8,7.2,7.2,6.5,5.6,5.9,5.6,5.2,4.6
420,PC,Y_GE15,M,DK03,3.3,7.1,9.2,8.0,7.8,7.2,6.9,6.0,5.7,6.0,4.7,4.7
421,PC,Y_GE15,M,DK04,3.0,6.8,8.5,7.1,7.3,6.7,5.7,5.3,5.3,4.9,4.5,4.7
422,PC,Y_GE15,M,DK05,2.9,7.8,8.7,8.4,8.1,6.8,6.9,6.2,5.0,5.4,5.1,5.1
423,PC,Y_GE15,M,EE00,5.8,16.7,19.3,13.1,10.9,9.1,7.9,6.2,7.4,6.2,5.4,4.1
424,PC,Y_GE15,M,EL30,5.1,7.3,11.0,16.5,24.6,27.0,25.6,23.3,20.2,18.8,15.7,14.3
425,PC,Y_GE15,M,EL41,,3.1,6.4,13.2,17.3,18.6,18.7,13.5,13.0,18.2,17.4,13.0
426,PC,Y_GE15,M,EL42,5.6,8.8,9.7,12.8,11.9,17.8,19.2,13.8,14.4,13.7,13.6,10.3
427,PC,Y_GE15,M,EL43,3.8,6.6,9.5,13.0,18.4,20.9,20.7,20.5,18.4,14.6,10.2,9.3
