,unit,age,sex,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
47,PC,Y_GE15,F,DE22,5.3,5.1,3.7,3.1,3.3,3.5,3.0,2.6,1.8,1.7,1.9,1.7
48,PC,Y_GE15,F,DE23,4.3,5.1,4.1,3.0,3.4,3.7,2.3,2.7,2.9,2.0,2.0,2.1
49,PC,Y_GE15,F,DE24,6.9,6.8,6.3,4.1,2.8,3.6,3.9,3.7,2.9,2.8,2.4,1.9
50,PC,Y_GE15,F,DE25,5.5,6.7,5.4,4.0,3.8,3.1,3.3,3.1,2.2,2.2,1.6,2.1
51,PC,Y_GE15,F,DE26,5.2,6.0,5.2,3.9,4.1,3.5,3.5,3.1,2.4,2.1,2.1,2.1
52,PC,Y_GE15,F,DE27,4.9,4.7,4.8,4.0,3.7,3.6,3.3,3.2,3.0,3.2,2.7,2.1
53,PC,Y_GE15,F,DE30,13.5,11.6,11.3,10.5,9.2,9.1,8.5,8.1,7.0,6.4,5.5,4.8
54,PC,Y_GE15,F,DE40,11.3,10.3,9.1,8.0,8.0,6.6,6.6,5.5,3.6,3.6,3.1,2.6
55,PC,Y_GE15,F,DE50,7.6,7.0,5.9,6.5,5.6,6.9,5.7,4.9,4.6,3.3,,
56,PC,Y_GE15,F,DE60,6.5,5.8,6.4,5.0,4.8,4.0,4.7,3.9,3.6,3.8,3.6,3.2
57,PC,Y_GE15,F,DE71,6.3,6.1,5.4,4.6,4.5,3.7,4.2,4.0,3.7,2.8,2.6,2.9
58,PC,Y_GE15,F,DE72,6.6,6.5,5.9,5.5,5.3,4.6,4.2,3.4,3.9,2.9,3.0,2.6
59,PC,Y_GE15,F,DE73,7.5,6.3,6.3,4.7,3.7,4.2,4.3,2.7,3.7,2.3,1.8,2.3
60,PC,Y_GE15,F,DE80,14.6,13.0,10.7,9.8,10.2,8.9,8.6,7.5,5.8,4.7,4.0,3.5
61,PC,Y_GE15,F,DE91,8.9,8.1,6.9,6.3,4.8,5.1,4.7,4.1,4.0,3.7,3.6,3.0
62,PC,Y_GE15,F,DE92,6.8,7.0,6.2,6.2,5.1,5.3,4.7,4.2,3.6,4.0,3.5,2.5
63,PC,Y_GE15,F,DE93,6.3,5.4,5.9,5.7,4.6,3.9,3.6,3.1,3.2,3.0,2.5,2.1
64,PC,Y_GE15,F,DE94,6.6,5.8,5.0,4.2,3.9,3.8,3.6,4.1,3.0,2.6,2.3,2.7
65,PC,Y_GE15,F,DEA1,7.1,6.8,6.5,5.7,5.7,5.3,5.7,5.1,3.9,3.4,3.4,3.1
66,PC,Y_GE15,F,DEA2,6.9,6.6,6.6,5.4,4.7,5.1,4.7,4.2,3.3,3.0,2.7,2.7
