,unit,sex,age,isced11,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,PC,T,Y25-64,ED0-2,MK,40.0,37.5,37.9,36.0,36.4,33.2,31.0,29.9,28.8,25.6,23.1,23.7
26,PC,T,Y25-64,ED0-2,MT,6.8,7.1,8.2,7.6,7.9,8.1,7.8,7.4,6.4,5.2,4.2,3.4
27,PC,T,Y25-64,ED0-2,NL,4.0,4.6,5.9,5.7,7.0,9.0,10.1,9.3,7.6,6.6,5.1,4.2
28,PC,T,Y25-64,ED0-2,NO,3.7,4.3,5.4,5.2,4.1,5.4,6.3,7.5,7.6,7.3,6.3,5.7
29,PC,T,Y25-64,ED0-2,PL,11.5,13.9,16.1,16.8,17.8,19.3,18.0,15.5,13.0,11.0,9.3,8.2
30,PC,T,Y25-64,ED0-2,PT,7.6,10.1,11.7,13.3,15.9,17.0,14.8,13.0,11.6,9.3,6.9,6.4
31,PC,T,Y25-64,ED0-2,RO,6.5,7.0,5.5,6.9,6.5,6.6,6.4,7.7,7.3,6.3,5.4,5.7
32,PC,T,Y25-64,ED0-2,RS,,,16.7,21.5,23.3,21.2,18.6,15.8,13.7,12.3,13.4,11.4
33,PC,T,Y25-64,ED0-2,SE,7.0,10.5,11.6,11.4,12.3,13.4,13.9,14.1,14.4,14.7,15.2,16.0
34,PC,T,Y25-64,ED0-2,SI,5.9,7.8,11.2,12.7,14.0,17.8,15.5,13.6,14.0,10.5,8.7,9.1
35,PC,T,Y25-64,ED0-2,SK,35.9,38.3,40.8,39.4,41.5,40.0,39.3,34.4,29.4,27.4,27.6,28.4
36,PC,T,Y25-64,ED0-2,TR,8.3,11.1,9.2,7.4,6.7,7.3,8.4,8.9,9.1,8.9,9.1,12.3
37,PC,T,Y25-64,ED0-2,UK,6.6,9.4,10.3,10.5,10.3,10.6,8.4,7.3,6.2,5.4,5.0,4.9
38,PC,T,Y25-64,ED3_4,AT,3.2,4.1,3.9,3.6,4.0,4.3,4.5,4.9,5.2,4.7,3.8,3.6
39,PC,T,Y25-64,ED3_4,BE,5.7,6.5,6.6,5.7,6.7,6.8,7.3,7.5,7.0,6.1,5.1,4.6
40,PC,T,Y25-64,ED3_4,BG,3.9,5.2,8.4,9.2,10.2,11.2,9.8,7.6,6.2,4.9,4.2,3.2
41,PC,T,Y25-64,ED3_4,CH,2.8,3.2,4.3,3.6,3.7,3.8,4.1,3.9,4.4,4.2,4.4,4.0
42,PC,T,Y25-64,ED3_4,CY,3.0,4.6,5.0,6.9,11.2,14.8,15.6,14.6,12.4,10.2,7.5,6.8
43,PC,T,Y25-64,ED3_4,CZ,3.3,5.4,6.2,5.7,5.7,6.1,5.4,4.4,3.2,2.5,1.9,1.6
44,PC,T,Y25-64,ED3_4,DE,7.2,7.5,6.9,5.7,5.3,5.1,4.6,4.3,3.7,3.3,2.9,2.6
45,PC,T,Y25-64,ED3_4,DK,2.3,5.0,6.3,6.0,6.2,5.8,5.4,4.7,4.4,3.9,3.4,3.5
46,PC,T,Y25-64,ED3_4,EA19,6.1,7.6,8.0,7.9,8.7,9.2,8.9,8.5,7.9,7.2,6.6,6.1
47,PC,T,Y25-64,ED3_4,EE,5.2,14.7,17.8,11.8,9.6,8.8,7.6,6.1,7.6,6.2,5.2,4.6
48,PC,T,Y25-64,ED3_4,EL,7.3,9.3,12.8,17.8,24.5,28.1,27.7,25.5,24.2,22.3,20.4,18.6
49,PC,T,Y25-64,ED3_4,ES,9.2,15.0,17.2,19.0,21.5,23.2,21.6,19.2,17.0,15.1,13.8,12.7
50,PC,T,Y25-64,ED3_4,EU27_2020,5.8,7.3,8.0,7.8,8.5,8.9,8.5,7.9,7.1,6.3,5.7,5.2
51,PC,T,Y25-64,ED3_4,EU28,5.6,7.2,7.8,7.6,8.2,8.6,8.1,7.5,6.8,6.0,5.4,5.0
52,PC,T,Y25-64,ED3_4,FI,5.4,7.7,7.5,6.9,7.1,7.5,8.1,8.8,8.2,8.3,7.5,6.2
53,PC,T,Y25-64,ED3_4,FR,5.3,6.6,6.8,7.0,7.8,8.5,9.0,9.1,9.0,8.5,8.2,7.9
54,PC,T,Y25-64,ED3_4,HR,7.2,8.0,9.7,11.6,14.6,15.3,15.2,14.8,12.2,9.7,7.2,5.8
55,PC,T,Y25-64,ED3_4,HU,6.3,8.3,9.5,9.7,9.5,8.8,6.5,5.7,4.2,3.3,3.0,2.5
56,PC,T,Y25-64,ED3_4,IE,5.4,11.9,14.7,16.1,16.2,15.0,12.8,10.7,8.5,7.1,5.5,4.8
57,PC,T,Y25-64,ED3_4,IS,1.4,5.8,7.2,5.4,4.1,4.1,4.0,3.1,3.0,2.0,2.0,3.0
58,PC,T,Y25-64,ED3_4,IT,4.6,5.6,6.0,5.9,7.7,8.9,9.1,8.9,8.8,8.6,8.5,8.0
59,PC,T,Y25-64,ED3_4,LT,6.2,15.1,20.6,17.8,15.7,13.9,13.2,11.5,10.1,9.2,8.0,8.1
60,PC,T,Y25-64,ED3_4,LU,4.9,3.4,3.6,3.7,4.2,5.5,5.1,5.4,5.7,4.7,4.8,5.1
61,PC,T,Y25-64,ED3_4,LV,7.5,17.9,19.6,16.9,16.7,12.5,11.2,10.7,11.3,9.9,8.3,6.9
62,PC,T,Y25-64,ED3_4,ME,,,,18.9,18.7,18.4,17.5,16.8,17.2,15.6,14.6,14.1
63,PC,T,Y25-64,ED3_4,MK,29.1,28.6,28.9,28.7,28.7,25.8,25.1,23.7,20.6,19.5,18.0,14.0
64,PC,T,Y25-64,ED3_4,MT,2.0,4.3,3.6,3.5,2.1,2.5,2.3,2.6,2.4,1.8,2.7,2.7
65,PC,T,Y25-64,ED3_4,NL,2.6,3.2,3.7,4.1,4.9,6.7,7.1,6.8,5.7,4.4,3.3,2.8
66,PC,T,Y25-64,ED3_4,NO,1.4,1.9,2.4,2.2,2.3,2.3,2.6,3.4,3.5,3.2,2.9,2.9
67,PC,T,Y25-64,ED3_4,PL,6.3,7.2,8.9,8.7,9.3,9.7,8.6,7.2,5.8,4.7,3.7,3.0
68,PC,T,Y25-64,ED3_4,PT,6.5,8.1,9.7,11.0,14.4,14.4,12.6,11.4,10.5,8.0,6.6,5.8
69,PC,T,Y25-64,ED3_4,RO,4.8,5.8,6.5,6.3,5.9,6.3,5.8,6.0,5.1,4.1,3.4,3.0
70,PC,T,Y25-64,ED3_4,RS,,,19.7,23.2,24.1,22.0,18.7,17.1,15.0,13.1,12.4,10.0
71,PC,T,Y25-64,ED3_4,SE,3.9,5.7,5.9,4.9,5.1,5.2,5.1,4.8,4.5,4.0,3.6,3.9
72,PC,T,Y25-64,ED3_4,SI,3.5,5.6,6.9,8.2,8.1,9.8,9.7,9.4,7.6,6.4,5.3,4.4
73,PC,T,Y25-64,ED3_4,SK,7.4,10.0,12.3,11.6,11.7,12.3,11.3,9.9,8.4,7.0,5.5,4.4
74,PC,T,Y25-64,ED3_4,TR,8.0,11.3,10.1,8.0,7.6,7.9,9.1,9.1,10.0,9.7,9.4,12.0
75,PC,T,Y25-64,ED3_4,UK,4.1,5.9,6.2,6.1,6.0,5.8,4.9,4.2,3.8,3.3,3.3,2.8
76,PC,T,Y25-64,ED5-8,AT,1.9,2.5,2.4,2.5,2.3,3.4,3.7,3.6,3.4,3.0,3.0,2.8
77,PC,T,Y25-64,ED5-8,BE,3.2,3.8,4.0,3.4,3.4,4.3,4.2,4.1,3.7,3.8,3.2,2.9
78,PC,T,Y25-64,ED5-8,BG,2.1,2.9,4.4,4.8,5.6,6.1,5.0,3.7,3.3,2.9,2.2,1.9
79,PC,T,Y25-64,ED5-8,CH,1.8,2.7,3.1,2.9,3.0,3.4,3.4,3.4,3.3,3.8,3.5,3.3
80,PC,T,Y25-64,ED5-8,CY,2.4,3.5,4.6,5.8,8.7,10.9,10.8,10.7,9.6,8.8,6.9,5.7
81,PC,T,Y25-64,ED5-8,CZ,1.5,2.2,2.5,2.6,2.6,2.5,2.6,2.2,1.8,1.4,1.1,1.0
82,PC,T,Y25-64,ED5-8,DE,3.3,3.4,3.0,2.4,2.3,2.4,2.5,2.3,2.2,2.0,1.9,1.8
83,PC,T,Y25-64,ED5-8,DK,2.2,3.8,4.6,5.0,4.8,4.7,4.6,4.6,4.4,4.4,3.9,3.9
84,PC,T,Y25-64,ED5-8,EA19,3.9,5.0,5.5,5.6,6.3,6.9,6.8,6.4,5.8,5.1,4.8,4.5
85,PC,T,Y25-64,ED5-8,EE,2.8,6.2,9.2,7.9,5.9,5.5,4.7,3.8,3.7,3.3,3.6,2.6
86,PC,T,Y25-64,ED5-8,EL,5.7,6.7,8.8,13.0,17.1,19.4,19.1,19.0,17.2,15.7,13.7,11.6
87,PC,T,Y25-64,ED5-8,ES,5.8,8.9,10.4,11.5,13.9,14.9,13.8,12.4,10.9,9.3,8.4,8.1
88,PC,T,Y25-64,ED5-8,EU27_2020,3.7,4.7,5.2,5.3,6.0,6.4,6.3,5.8,5.2,4.6,4.2,4.0
89,PC,T,Y25-64,ED5-8,EU28,3.5,4.5,4.9,5.0,5.6,5.9,5.7,5.2,4.7,4.2,3.9,3.7
90,PC,T,Y25-64,ED5-8,FI,3.3,4.0,4.4,4.0,3.9,4.5,5.1,6.0,5.8,5.3,4.2,3.9
91,PC,T,Y25-64,ED5-8,FR,3.8,4.8,4.7,4.7,4.8,5.3,5.8,5.7,5.1,4.8,5.0,4.7
92,PC,T,Y25-64,ED5-8,HR,4.3,5.6,7.9,8.3,9.9,10.1,9.0,8.9,7.4,6.5,5.7,5.0
93,PC,T,Y25-64,ED5-8,HU,2.2,3.4,4.0,3.8,4.0,3.5,2.7,2.2,1.7,1.5,1.3,1.4
94,PC,T,Y25-64,ED5-8,IE,3.3,6.4,7.2,7.5,7.3,6.8,6.4,5.2,4.7,3.7,3.6,2.9
95,PC,T,Y25-64,ED5-8,IS,1.6,3.9,3.5,4.5,2.9,3.7,3.6,2.8,1.7,1.6,1.9,2.2
96,PC,T,Y25-64,ED5-8,IT,4.2,5.1,5.5,5.1,6.3,6.9,7.6,6.8,6.5,6.2,5.8,5.6
97,PC,T,Y25-64,ED5-8,LT,2.4,5.6,6.8,5.6,4.8,4.4,3.7,3.2,2.7,2.7,2.6,2.8
98,PC,T,Y25-64,ED5-8,LU,2.2,3.7,3.6,3.5,3.4,3.7,3.6,4.6,3.8,3.7,4.1,3.4
99,PC,T,Y25-64,ED5-8,LV,4.1,7.4,10.2,6.9,6.2,5.5,5.1,4.5,4.0,3.6,3.7,3.6
100,PC,T,Y25-64,ED5-8,ME,,,,12.1,10.0,8.7,9.0,9.4,11.5,10.7,10.0,11.0
101,PC,T,Y25-64,ED5-8,MK,18.7,17.9,19.3,19.5,18.8,20.1,19.6,18.9,17.6,17.1,16.6,13.3
102,PC,T,Y25-64,ED5-8,MT,,1.6,,,1.4,1.7,2.4,1.6,1.4,1.8,1.8,2.7
103,PC,T,Y25-64,ED5-8,NL,1.9,2.5,2.9,3.0,3.2,3.9,3.9,3.7,3.4,2.8,2.3,2.1
104,PC,T,Y25-64,ED5-8,NO,1.3,1.5,1.8,1.6,1.6,1.8,2.1,2.5,3.0,2.3,2.2,2.0
105,PC,T,Y25-64,ED5-8,PL,3.1,3.6,4.2,4.4,4.9,5.0,4.1,3.5,3.0,2.2,1.8,1.8
106,PC,T,Y25-64,ED5-8,PT,5.7,5.6,6.1,7.8,10.2,11.4,8.9,8.2,7.4,5.7,4.7,4.8
107,PC,T,Y25-64,ED5-8,RO,1.9,3.2,3.7,3.6,4.1,4.3,4.7,3.5,2.7,2.1,1.8,1.2
108,PC,T,Y25-64,ED5-8,RS,,,11.9,14.9,15.9,17.2,14.5,14.3,13.4,11.8,10.6,8.1
109,PC,T,Y25-64,ED5-8,SE,3.3,4.3,4.5,4.1,4.0,4.0,4.0,4.0,3.8,3.9,3.6,3.5
110,PC,T,Y25-64,ED5-8,SI,3.1,3.1,4.1,4.7,5.8,5.8,6.0,5.7,6.0,5.2,3.6,3.0
111,PC,T,Y25-64,ED5-8,SK,3.0,3.4,4.9,5.3,6.0,6.5,5.8,5.6,5.1,3.6,2.8,2.3
112,PC,T,Y25-64,ED5-8,TR,6.5,8.1,7.0,6.8,6.7,6.9,8.1,8.3,9.3,9.4,9.8,10.6
113,PC,T,Y25-64,ED5-8,UK,2.3,3.2,3.4,3.7,3.7,3.2,2.7,2.5,2.6,2.4,2.1,2.0
