,unit,age,sex,isced11,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
48,THS,Y15-64,T,TOTAL,EL,152.7,151.6,130.4,94.3,68.3,60.4,58.6,58.1,65.4,76.2,79.3,78.6
49,THS,Y15-64,T,TOTAL,ES,520.8,443.6,406.0,372.3,347.1,376.0,380.6,401.2,422.4,444.2,437.0,463.1
50,THS,Y15-64,T,TOTAL,EU27_2020,7360.5,7104.3,6871.7,7030.8,7009.8,7696.6,7744.6,7630.8,7885.1,7947.3,7981.1,8168.5
51,THS,Y15-64,T,TOTAL,EU28,8452.0,8210.1,7946.4,8134.1,8099.4,8793.8,8903.2,8766.0,8978.1,9027.8,9055.6,9262.7
52,THS,Y15-64,T,TOTAL,FI,109.9,106.5,108.7,112.6,120.1,124.5,125.8,140.1,143.6,147.3,156.1,164.7
53,THS,Y15-64,T,TOTAL,FR,823.8,860.6,867.8,858.1,826.8,1395.4,1393.0,1341.4,1311.0,1314.0,1412.1,1387.0
54,THS,Y15-64,T,TOTAL,HR,52.2,46.9,43.3,37.0,32.9,26.8,37.4,38.2,17.0,15.9,19.9,16.3
55,THS,Y15-64,T,TOTAL,HU,60.3,69.1,67.9,76.1,78.5,99.1,68.3,46.1,54.5,65.9,62.4,62.5
56,THS,Y15-64,T,TOTAL,IE,56.2,44.5,38.9,38.5,39.2,48.0,47.2,46.4,46.0,55.7,59.9,66.6
57,THS,Y15-64,T,TOTAL,IS,16.8,14.8,14.0,14.9,15.5,16.4,17.9,20.0,22.4,22.1,20.4,19.7
58,THS,Y15-64,T,TOTAL,IT,432.8,341.5,339.6,308.0,319.8,286.6,288.2,298.7,322.5,334.2,321.1,335.9
59,THS,Y15-64,T,TOTAL,LT,71.5,62.1,61.5,65.7,70.6,78.9,83.8,67.4,66.7,64.4,63.7,64.6
60,THS,Y15-64,T,TOTAL,LU,4.1,6.5,6.7,5.2,6.7,7.4,7.6,9.9,9.8,9.8,10.1,9.6
61,THS,Y15-64,T,TOTAL,LV,60.9,40.4,36.7,34.9,42.0,40.5,39.2,47.4,49.2,36.5,37.3,40.0
62,THS,Y15-64,T,TOTAL,ME,,,,1.3,2.0,2.2,2.9,3.1,2.3,2.0,1.3,1.6
63,THS,Y15-64,T,TOTAL,MK,14.4,14.3,13.3,14.7,13.6,7.0,8.5,9.2,10.2,12.6,15.4,25.2
64,THS,Y15-64,T,TOTAL,MT,7.9,8.1,7.9,9.2,8.6,8.3,9.0,8.7,7.4,6.8,8.1,8.5
65,THS,Y15-64,T,TOTAL,NL,617.6,605.8,589.4,581.3,596.7,671.0,670.1,705.5,686.9,685.0,704.6,704.6
66,THS,Y15-64,T,TOTAL,NO,209.7,216.2,205.1,209.8,224.3,218.8,223.9,238.9,229.5,216.9,229.0,248.0
67,THS,Y15-64,T,TOTAL,PL,1178.3,1168.6,1122.0,1092.3,1076.2,1048.4,999.1,907.9,888.5,883.5,865.0,827.8
68,THS,Y15-64,T,TOTAL,PT,323.6,309.7,279.9,227.6,200.4,176.5,195.6,189.8,190.6,189.8,198.8,218.9
69,THS,Y15-64,T,TOTAL,RO,293.8,275.8,237.9,214.4,209.1,174.1,165.0,135.2,130.2,128.3,129.9,147.8
70,THS,Y15-64,T,TOTAL,RS,,,106.6,79.4,70.1,69.8,124.0,131.4,184.6,188.8,191.8,213.0
71,THS,Y15-64,T,TOTAL,SE,367.3,356.6,369.3,380.2,382.9,404.6,419.5,415.0,413.3,418.6,420.7,441.9
72,THS,Y15-64,T,TOTAL,SI,36.5,33.8,35.0,29.4,30.8,27.9,36.6,31.3,24.0,34.0,34.0,21.8
73,THS,Y15-64,T,TOTAL,SK,25.3,23.8,27.5,27.4,23.3,27.6,24.2,21.9,29.9,32.0,31.5,29.2
74,THS,Y15-64,T,TOTAL,TR,531.4,564.7,621.8,735.8,722.1,741.0,816.1,857.3,870.6,931.2,988.1,877.7
75,THS,Y15-64,T,TOTAL,UK,1091.5,1105.8,1074.7,1103.2,1089.6,1097.2,1158.7,1135.2,1093.0,1080.5,1074.5,1094.2
76,THS,Y15-74,T,TOTAL,AT,173.9,164.7,159.7,166.9,169.8,184.5,183.8,184.6,200.2,201.3,185.3,188.8
77,THS,Y15-74,T,TOTAL,BE,168.9,175.4,184.3,187.2,190.8,183.8,193.9,185.1,202.1,178.9,180.1,208.4
78,THS,Y15-74,T,TOTAL,BG,25.7,20.2,16.3,11.0,11.6,15.7,17.7,13.8,14.7,14.0,12.2,14.1
79,THS,Y15-74,T,TOTAL,CH,313.7,314.9,279.1,276.7,292.5,297.1,314.3,326.6,347.5,351.0,358.5,376.4
80,THS,Y15-74,T,TOTAL,CY,16.1,14.8,12.7,13.6,9.9,10.1,13.5,10.2,13.1,12.7,10.3,10.8
81,THS,Y15-74,T,TOTAL,CZ,87.9,91.5,106.1,103.2,105.0,110.6,108.9,115.2,119.3,136.7,136.7,136.7
82,THS,Y15-74,T,TOTAL,DE,1427.6,1427.7,1386.0,1757.7,1832.9,1905.8,1976.8,2020.1,2205.1,2233.6,2206.1,2295.4
83,THS,Y15-74,T,TOTAL,DK,262.8,252.0,222.1,219.9,207.8,200.7,204.2,193.9,255.9,237.0,207.0,233.9
84,THS,Y15-74,T,TOTAL,EA19,5088.3,4890.3,4741.4,4953.9,4970.8,5697.4,5810.3,5855.4,6092.5,6156.7,6246.2,6419.7
85,THS,Y15-74,T,TOTAL,EE,21.3,25.0,28.3,31.4,30.8,32.6,29.2,31.3,34.3,35.9,40.1,42.0
86,THS,Y15-74,T,TOTAL,EL,154.8,154.6,133.8,96.3,69.4,61.6,60.0,59.2,66.8,78.1,81.6,81.4
87,THS,Y15-74,T,TOTAL,ES,523.2,444.9,408.2,374.3,349.7,377.7,382.9,404.0,424.8,447.5,440.8,467.0
88,THS,Y15-74,T,TOTAL,EU27_2020,7432.1,7188.0,6947.2,7108.6,7094.3,7804.0,7861.5,7750.5,8015.6,8091.6,8136.3,8335.1
89,THS,Y15-74,T,TOTAL,EU28,8548.4,8317.5,8045.9,8242.2,8217.0,8936.4,9055.9,8917.6,9137.8,9210.0,9247.4,9463.8
90,THS,Y15-74,T,TOTAL,FI,111.2,108.4,110.5,114.1,122.4,127.0,128.8,145.1,148.0,151.1,160.0,168.9
91,THS,Y15-74,T,TOTAL,FR,827.6,865.9,872.7,866.5,836.0,1414.2,1410.4,1359.2,1331.4,1334.6,1436.8,1413.9
92,THS,Y15-74,T,TOTAL,HR,52.3,47.0,43.6,37.5,33.2,27.5,37.4,38.5,17.1,16.1,19.9,16.3
93,THS,Y15-74,T,TOTAL,HU,61.0,70.0,68.4,76.9,78.9,100.0,69.2,46.8,55.2,66.7,63.5,63.2
94,THS,Y15-74,T,TOTAL,IE,57.2,45.7,39.4,39.5,40.4,49.1,48.5,47.3,47.2,57.4,61.4,68.7
95,THS,Y15-74,T,TOTAL,IS,17.0,15.1,14.4,15.1,15.9,16.9,18.5,20.8,23.4,22.9,20.9,20.2
96,THS,Y15-74,T,TOTAL,IT,438.5,346.2,342.8,311.6,324.5,291.4,292.7,302.8,329.0,339.6,326.7,341.9
97,THS,Y15-74,T,TOTAL,LT,72.2,63.0,62.3,66.3,71.1,79.9,84.3,68.5,68.1,65.5,65.6,66.5
98,THS,Y15-74,T,TOTAL,LU,4.2,6.8,6.7,5.3,6.8,7.6,7.9,10.0,9.9,9.9,10.1,9.7
99,THS,Y15-74,T,TOTAL,LV,62.6,41.4,37.5,35.3,42.6,41.1,40.0,48.6,51.0,38.0,39.3,41.8
100,THS,Y15-74,T,TOTAL,ME,,,,1.4,2.0,2.2,2.9,3.1,2.4,2.0,1.4,1.6
101,THS,Y15-74,T,TOTAL,MK,14.7,14.5,13.3,14.7,13.7,7.1,8.5,9.3,10.3,12.6,15.4,25.3
