,unit,age,sex,isced11,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
196,THS,Y_GE25,T,TOTAL,DE,1344.8,1346.2,1312.6,1652.5,1716.9,1793.8,1854.4,1901.8,2061.1,2084.7,2060.2,2138.7
197,THS,Y_GE25,T,TOTAL,DK,215.8,203.6,182.8,177.8,168.3,163.1,166.0,154.3,204.9,190.7,165.9,185.4
198,THS,Y_GE25,T,TOTAL,EA19,4703.6,4535.2,4415.1,4599.6,4613.7,5311.7,5427.1,5461.6,5669.0,5726.8,5815.6,5980.2
199,THS,Y_GE25,T,TOTAL,EE,20.2,23.7,27.2,29.8,29.6,30.4,28.1,29.9,32.8,33.7,37.4,40.1
200,THS,Y_GE25,T,TOTAL,EL,149.7,148.2,129.9,93.5,66.7,59.5,58.3,58.0,64.6,75.1,80.7,79.8
201,THS,Y_GE25,T,TOTAL,ES,485.7,421.4,386.8,361.1,338.7,365.3,370.0,389.5,411.6,431.7,421.0,449.9
202,THS,Y_GE25,T,TOTAL,EU27_2020,6894.9,6675.3,6481.6,6618.4,6600.1,7289.4,7346.6,7228.9,7447.1,7523.5,7578.8,7752.2
203,THS,Y_GE25,T,TOTAL,EU28,7848.6,7659.6,7446.4,7621.6,7584.0,8273.4,8395.6,8257.1,8445.4,8530.8,8573.5,8766.5
204,THS,Y_GE25,T,TOTAL,FI,96.9,94.6,97.2,100.6,105.7,111.7,113.2,127.7,129.2,131.8,140.7,149.6
205,THS,Y_GE25,T,TOTAL,FR,777.2,814.5,821.2,813.8,788.4,1352.3,1356.7,1302.8,1275.5,1285.8,1381.5,1356.3
206,THS,Y_GE25,T,TOTAL,HR,50.7,45.4,42.3,36.4,32.3,27.1,36.8,38.0,16.4,15.3,19.0,16.1
207,THS,Y_GE25,T,TOTAL,HU,60.1,68.6,67.3,76.0,76.8,97.6,67.8,45.5,53.2,64.5,61.2,62.2
208,THS,Y_GE25,T,TOTAL,IE,51.5,41.8,35.8,36.4,37.7,45.6,45.5,44.4,44.1,52.6,56.2,62.0
209,THS,Y_GE25,T,TOTAL,IS,13.9,12.4,11.9,12.4,12.8,13.1,14.8,16.4,18.7,18.1,16.9,16.9
210,THS,Y_GE25,T,TOTAL,IT,421.6,333.8,332.4,302.6,316.6,284.5,286.3,296.1,322.6,331.1,320.1,334.7
211,THS,Y_GE25,T,TOTAL,LT,70.0,61.5,61.1,64.9,69.8,77.8,80.9,66.1,66.9,64.4,64.8,65.1
212,THS,Y_GE25,T,TOTAL,LU,4.2,6.5,6.4,5.0,6.6,7.3,7.7,9.2,8.9,9.4,9.3,8.8
213,THS,Y_GE25,T,TOTAL,LV,58.9,40.7,35.9,34.0,40.8,39.7,38.7,47.6,49.5,37.0,37.9,41.0
214,THS,Y_GE25,T,TOTAL,ME,,,,1.4,1.8,2.1,2.7,3.0,2.3,2.0,1.3,1.6
215,THS,Y_GE25,T,TOTAL,MK,13.6,13.1,12.5,13.9,13.2,6.8,8.3,9.0,10.1,12.3,14.7,23.7
216,THS,Y_GE25,T,TOTAL,MT,7.1,7.7,7.3,8.6,7.9,7.9,8.3,8.2,6.9,6.3,7.8,8.3
217,THS,Y_GE25,T,TOTAL,NL,496.5,489.9,479.9,466.6,477.8,545.2,553.1,580.1,561.0,557.5,580.7,587.6
218,THS,Y_GE25,T,TOTAL,NO,176.4,186.8,179.6,181.1,190.1,186.6,193.9,206.3,197.1,185.9,200.4,215.9
219,THS,Y_GE25,T,TOTAL,PL,1139.3,1126.3,1087.0,1061.9,1044.7,1023.9,978.1,890.1,867.0,865.5,850.1,811.5
220,THS,Y_GE25,T,TOTAL,PT,324.4,314.0,284.6,227.6,202.4,176.7,193.6,189.0,188.9,189.6,197.4,218.7
221,THS,Y_GE25,T,TOTAL,RO,280.3,260.2,228.8,206.5,199.8,166.9,158.8,128.9,125.2,123.8,124.7,138.0
222,THS,Y_GE25,T,TOTAL,RS,,,105.5,78.0,70.3,67.6,120.8,127.4,178.9,182.1,183.6,204.5
223,THS,Y_GE25,T,TOTAL,SE,334.4,327.4,339.4,348.3,352.0,376.5,388.4,383.9,381.3,390.6,397.2,411.4
224,THS,Y_GE25,T,TOTAL,SI,32.9,31.3,31.7,27.0,28.6,26.4,34.6,29.3,22.6,31.1,31.5,20.4
225,THS,Y_GE25,T,TOTAL,SK,24.9,23.7,27.1,27.7,23.9,27.1,24.0,21.8,29.9,32.3,31.3,29.3
226,THS,Y_GE25,T,TOTAL,TR,515.7,553.6,604.4,711.1,700.0,714.4,785.6,820.5,825.9,886.6,950.5,838.6
227,THS,Y_GE25,T,TOTAL,UK,953.7,984.3,964.8,1003.2,983.8,984.1,1049.0,1028.1,998.3,1007.3,994.7,1014.3
