s_adj,age,sex,unit,geo_time,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08
SA,Y25-74,F,PC_ACT,AT,3.7,3.8,3.7,3.7,3.7,3.6,3.7,4.0,4.2,4.1,3.9,
SA,Y25-74,F,PC_ACT,BE,4.3,4.1,3.9,3.9,4.1,4.2,4.4,4.5,4.4,4.4,4.4,
SA,Y25-74,F,PC_ACT,BG,3.5,3.6,3.6,3.5,3.8,3.6,3.6,4.2,4.0,3.9,3.9,
SA,Y25-74,F,PC_ACT,CH,4.0,3.8,3.6,3.7,4.0,4.1,4.1,4.0,4.1,4.2,,
SA,Y25-74,F,PC_ACT,CY,7.0,6.8,6.6,6.3,6.0,5.6,5.9,7.3,7.3,6.1,5.3,
SA,Y25-74,F,PC_ACT,CZ,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.3,2.5,2.5,2.7,
SA,Y25-74,F,PC_ACT,DE,2.3,2.4,2.5,2.6,,,,,,,,
SA,Y25-74,F,PC_ACT,DK,4.6,4.7,4.6,4.6,4.5,4.6,4.2,4.5,5.1,5.6,5.4,
SA,Y25-74,F,PC_ACT,EA,7.1,7.1,7.0,7.0,7.1,7.0,6.9,6.8,7.0,7.2,7.5,
SA,Y25-74,F,PC_ACT,EA18,7.1,7.1,7.1,7.0,7.1,7.0,6.9,6.8,7.0,7.2,7.5,
SA,Y25-74,F,PC_ACT,EA19,7.1,7.1,7.0,7.0,7.1,7.0,6.9,6.8,7.0,7.2,7.5,
SA,Y25-74,F,PC_ACT,EE,4.6,4.0,4.1,3.7,4.0,3.8,4.0,5.6,6.3,5.8,,
SA,Y25-74,F,PC_ACT,EL,19.8,19.5,19.4,19.4,19.0,18.7,15.3,18.2,21.2,20.0,,
SA,Y25-74,F,PC_ACT,ES,14.8,14.7,14.5,14.4,14.5,14.3,14.9,15.5,15.5,15.5,15.4,
SA,Y25-74,F,PC_ACT,EU27_2007,5.7,5.7,5.7,5.7,5.8,,,,,,,
SA,Y25-74,F,PC_ACT,EU27_2020,6.2,6.2,6.2,6.1,6.2,6.2,6.1,6.1,6.3,6.5,6.7,
SA,Y25-74,F,PC_ACT,EU28,5.7,5.7,5.7,5.7,5.8,,,,,,,
SA,Y25-74,F,PC_ACT,FI,4.9,5.0,5.0,5.1,5.1,5.2,5.3,5.4,5.6,5.7,5.8,
SA,Y25-74,F,PC_ACT,FR,7.3,7.1,7.1,7.0,7.1,6.8,6.4,6.2,5.2,5.0,5.6,
SA,Y25-74,F,PC_ACT,HR,6.1,6.0,6.0,6.0,5.7,5.7,6.2,7.4,8.1,8.0,8.0,
SA,Y25-74,F,PC_ACT,HU,3.2,3.2,3.0,3.2,3.2,3.2,3.2,3.5,4.2,4.4,,
SA,Y25-74,F,PC_ACT,IE,3.6,3.6,3.7,3.8,3.9,3.9,4.0,3.4,3.3,3.3,3.4,3.5
SA,Y25-74,F,PC_ACT,IS,2.4,2.4,2.5,2.8,3.5,3.6,3.1,3.2,3.8,3.6,3.6,
SA,Y25-74,F,PC_ACT,IT,9.6,9.7,9.7,9.7,,,,,,,,
SA,Y25-74,F,PC_ACT,LT,5.3,5.0,5.0,5.1,4.9,5.0,5.2,6.2,6.7,6.9,7.1,
SA,Y25-74,F,PC_ACT,LU,4.7,4.6,4.6,4.7,4.7,4.8,5.2,5.8,6.0,6.0,5.8,
SA,Y25-74,F,PC_ACT,LV,5.1,5.0,5.0,5.3,5.6,5.7,5.9,6.6,6.9,7.0,7.1,
SA,Y25-74,F,PC_ACT,MT,3.8,3.6,3.4,3.1,2.9,2.5,3.2,4.6,4.6,4.7,4.6,
SA,Y25-74,F,PC_ACT,NL,2.8,2.7,2.6,2.5,2.3,2.3,2.3,2.4,2.6,3.4,3.6,
SA,Y25-74,F,PC_ACT,NO,2.5,2.5,2.6,2.6,2.5,2.4,2.5,3.1,3.3,3.6,,
SA,Y25-74,F,PC_ACT,PL,2.9,2.9,2.8,2.8,2.7,2.6,2.6,2.7,2.9,3.0,2.9,
SA,Y25-74,F,PC_ACT,PT,6.2,6.1,6.3,6.1,6.0,5.8,5.6,5.9,4.8,6.1,6.9,
SA,Y25-74,F,PC_ACT,RO,2.4,2.4,2.3,2.3,2.7,2.6,2.6,3.8,3.7,4.2,3.6,
SA,Y25-74,F,PC_ACT,SE,4.7,5.4,5.8,5.2,5.6,6.3,5.5,5.7,6.6,6.7,6.5,
SA,Y25-74,F,PC_ACT,SI,4.6,4.5,4.4,4.3,4.4,4.2,4.2,4.9,5.0,5.1,5.0,
SA,Y25-74,F,PC_ACT,SK,5.1,5.1,5.0,5.0,5.7,5.8,5.7,6.2,6.2,6.1,6.2,
SA,Y25-74,F,PC_ACT,UK,2.6,2.7,2.7,2.7,2.8,2.7,2.6,2.5,2.5,,,
SA,Y25-74,F,PC_ACT,US,2.9,3.0,3.0,2.9,2.9,2.8,3.5,14.2,12.8,10.2,9.6,
SA,Y25-74,M,PC_ACT,AT,4.1,3.8,3.6,3.5,3.6,3.8,3.9,3.7,5.2,5.3,5.2,
SA,Y25-74,M,PC_ACT,BE,4.7,4.7,4.7,4.8,4.6,4.6,4.7,5.0,5.1,5.1,5.1,
SA,Y25-74,M,PC_ACT,BG,4.0,4.2,4.3,4.3,4.4,4.1,3.9,4.5,4.4,4.3,4.3,
SA,Y25-74,M,PC_ACT,CH,3.5,3.4,3.3,3.4,3.5,3.5,3.7,4.1,4.3,4.4,,
SA,Y25-74,M,PC_ACT,CY,4.7,4.9,5.0,4.7,5.4,5.4,5.8,6.6,6.8,6.3,6.3,
SA,Y25-74,M,PC_ACT,CZ,1.7,1.6,1.8,1.6,1.6,1.5,1.6,1.7,1.9,2.2,2.1,
SA,Y25-74,M,PC_ACT,DE,3.2,3.2,3.3,3.4,,,,,,,,
SA,Y25-74,M,PC_ACT,DK,4.1,3.9,3.8,3.6,3.7,3.6,3.7,3.5,3.8,4.3,4.5,
SA,Y25-74,M,PC_ACT,EA,6.3,6.2,6.2,6.2,6.1,6.0,6.1,6.3,6.4,6.6,6.7,
SA,Y25-74,M,PC_ACT,EA18,6.3,6.2,6.2,6.2,6.1,6.0,6.1,6.3,6.4,6.6,6.7,
SA,Y25-74,M,PC_ACT,EA19,6.3,6.2,6.2,6.2,6.1,6.0,6.1,6.3,6.4,6.6,6.7,
SA,Y25-74,M,PC_ACT,EE,3.2,3.5,3.6,4.3,4.8,4.7,4.8,5.3,6.0,7.5,,
SA,Y25-74,M,PC_ACT,EL,12.9,12.8,12.8,12.6,12.4,12.1,12.0,12.2,12.4,15.2,,
SA,Y25-74,M,PC_ACT,ES,11.0,11.0,11.0,10.9,10.8,10.5,11.6,12.5,12.7,13.0,13.1,
SA,Y25-74,M,PC_ACT,EU27_2007,5.2,5.1,5.1,5.1,5.1,,,,,,,
SA,Y25-74,M,PC_ACT,EU27_2020,5.5,5.4,5.5,5.5,5.4,5.3,5.4,5.6,5.8,6.0,6.1,
SA,Y25-74,M,PC_ACT,EU28,5.2,5.1,5.1,5.1,5.1,,,,,,,
SA,Y25-74,M,PC_ACT,FI,5.8,5.7,5.6,5.4,5.3,5.3,5.4,5.7,6.0,6.2,6.4,
