unit,sex,age,isced11,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PC,T,Y25-64,ED0-2,PT	7.6 	10.1 	11.7 	13.3 b	15.9 	17.0 	14.8 b	13.0 	11.6 	9.3 	6.9 	6.4 
PC,T,Y25-64,ED0-2,RO	6.5 	7.0 	5.5 b	6.9 	6.5 	6.6 	6.4 b	7.7 	7.3 	6.3 	5.4 	5.7 
PC,T,Y25-64,ED0-2,RS	: 	: 	16.7 	21.5 	23.3 	21.2 	18.6 b	15.8 	13.7 	12.3 	13.4 	11.4 
PC,T,Y25-64,ED0-2,SE	7.0 	10.5 	11.6 	11.4 	12.3 	13.4 	13.9 b	14.1 	14.4 	14.7 	15.2 b	16.0 
PC,T,Y25-64,ED0-2,SI	5.9 	7.8 	11.2 	12.7 	14.0 	17.8 	15.5 b	13.6 	14.0 	10.5 	8.7 	9.1 
PC,T,Y25-64,ED0-2,SK	35.9 	38.3 	40.8 	39.4 b	41.5 	40.0 	39.3 b	34.4 	29.4 	27.4 	27.6 	28.4 
PC,T,Y25-64,ED0-2,TR	8.3 	11.1 	9.2 	7.4 	6.7 	7.3 	8.4 b	8.9 	9.1 	8.9 	9.1 	12.3 
PC,T,Y25-64,ED0-2,UK	6.6 b	9.4 	10.3 b	10.5 b	10.3 	10.6 	8.4 b	7.3 	6.2 	5.4 	5.0 	4.9 
PC,T,Y25-64,ED3_4,AT	3.2 	4.1 	3.9 	3.6 	4.0 	4.3 	4.5 b	4.9 	5.2 	4.7 	3.8 	3.6 
PC,T,Y25-64,ED3_4,BE	5.7 b	6.5 	6.6 	5.7 b	6.7 	6.8 	7.3 b	7.5 	7.0 	6.1 b	5.1 	4.6 
PC,T,Y25-64,ED3_4,BG	3.9 b	5.2 	8.4 b	9.2 b	10.2 	11.2 	9.8 b	7.6 	6.2 	4.9 	4.2 	3.2 
PC,T,Y25-64,ED3_4,CH	2.8 	3.2 	4.3 b	3.6 	3.7 	3.8 	4.1 b	3.9 	4.4 	4.2 	4.4 	4.0 
PC,T,Y25-64,ED3_4,CY	3.0 	4.6 b	5.0 	6.9 	11.2 	14.8 	15.6 b	14.6 	12.4 	10.2 	7.5 	6.8 
PC,T,Y25-64,ED3_4,CZ	3.3 	5.4 	6.2 	5.7 b	5.7 	6.1 	5.4 b	4.4 	3.2 	2.5 	1.9 	1.6 
PC,T,Y25-64,ED3_4,DE	7.2 	7.5 	6.9 b	5.7 b	5.3 	5.1 	4.6 b	4.3 	3.7 	3.3 	2.9 	2.6 
PC,T,Y25-64,ED3_4,DK	2.3 b	5.0 	6.3 	6.0 	6.2 	5.8 	5.4 b	4.7 	4.4 b	3.9 b	3.4 	3.5 
PC,T,Y25-64,ED3_4,EA19	6.1 	7.6 	8.0 	7.9 	8.7 	9.2 	8.9 b	8.5 	7.9 	7.2 	6.6 	6.1 
PC,T,Y25-64,ED3_4,EE	5.2 	14.7 	17.8 	11.8 	9.6 	8.8 	7.6 b	6.1 	7.6 	6.2 	5.2 	4.6 
PC,T,Y25-64,ED3_4,EL	7.3 	9.3 b	12.8 	17.8 	24.5 	28.1 	27.7 b	25.5 	24.2 	22.3 	20.4 	18.6 
PC,T,Y25-64,ED3_4,ES	9.2 	15.0 	17.2 	19.0 	21.5 	23.2 	21.6 b	19.2 	17.0 	15.1 	13.8 	12.7 
PC,T,Y25-64,ED3_4,EU27_2020	5.8 	7.3 	8.0 	7.8 	8.5 	8.9 	8.5 b	7.9 	7.1 	6.3 	5.7 	5.2 
PC,T,Y25-64,ED3_4,EU28	5.6 	7.2 	7.8 	7.6 	8.2 	8.6 	8.1 b	7.5 	6.8 	6.0 	5.4 	5.0 
PC,T,Y25-64,ED3_4,FI	5.4 b	7.7 	7.5 	6.9 	7.1 	7.5 	8.1 b	8.8 	8.2 	8.3 	7.5 	6.2 
PC,T,Y25-64,ED3_4,FR	5.3 	6.6 	6.8 	7.0 	7.8 	8.5 b	9.0 b	9.1 	9.0 	8.5 	8.2 	7.9 
PC,T,Y25-64,ED3_4,HR	7.2 	8.0 	9.7 b	11.6 	14.6 	15.3 	15.2 b	14.8 	12.2 	9.7 	7.2 	5.8 
PC,T,Y25-64,ED3_4,HU	6.3 	8.3 	9.5 	9.7 	9.5 	8.8 	6.5 b	5.7 	4.2 	3.3 	3.0 	2.5 
PC,T,Y25-64,ED3_4,IE	5.4 	11.9 	14.7 	16.1 	16.2 	15.0 	12.8 b	10.7 	8.5 	7.1 b	5.5 	4.8 
PC,T,Y25-64,ED3_4,IS	1.4 	5.8 	7.2 	5.4 	4.1 	4.1 	4.0 b	3.1 	3.0 	2.0 	2.0 	3.0 
PC,T,Y25-64,ED3_4,IT	4.6 	5.6 	6.0 	5.9 	7.7 	8.9 	9.1 b	8.9 	8.8 	8.6 	8.5 	8.0 
PC,T,Y25-64,ED3_4,LT	6.2 	15.1 	20.6 	17.8 	15.7 	13.9 	13.2 b	11.5 	10.1 	9.2 	8.0 	8.1 
PC,T,Y25-64,ED3_4,LU	4.9 	3.4 b	3.6 	3.7 	4.2 	5.5 	5.1 b	5.4 b	5.7 	4.7 	4.8 	5.1 
PC,T,Y25-64,ED3_4,LV	7.5 	17.9 	19.6 	16.9 	16.7 	12.5 	11.2 b	10.7 	11.3 	9.9 	8.3 	6.9 
PC,T,Y25-64,ED3_4,ME	: 	: 	: 	18.9 	18.7 	18.4 	17.5 b	16.8 	17.2 	15.6 	14.6 	14.1 
PC,T,Y25-64,ED3_4,MK	29.1 	28.6 	28.9 	28.7 	28.7 	25.8 	25.1 b	23.7 	20.6 	19.5 	18.0 	14.0 
