sex,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
M,LV	6.2 	9.5 	11.5 	10.6 	10.0 	9.0 	8.8 	8.0 	8.0 	7.8 	7.8 	7.0 
M,ME	: 	: 	: 	20.0 	21.8 	21.9 	19.3 	17.5 	18.8 	17.4 	15.3 	15.8 
M,MK	21.3 	19.1 	19.7 	20.1 	18.8 	16.0 	15.1 	16.2 	13.8 	13.4 	12.9 	11.9 
M,MT	9.8 	9.9 	8.5 	8.2 	9.3 	9.3 	9.4 	8.4 	7.6 	8.1 	7.1 	6.9 
M,NL	9.1 	9.2 	8.4 	8.0 	8.1 	8.9 	9.5 	9.1 	9.0 	8.5 	7.9 	7.2 
M,PL	11.5 b	11.6 	11.6 b	11.2 	11.1 	11.3 	10.8 	10.2 	9.3 	8.7 	8.3 	8.4 
M,PT	5.9 	7.1 	7.9 	8.5 b	10.1 	11.0 	10.1 	9.1 	8.2 	6.8 	6.0 	5.7 
M,RO	11.5 	11.8 	12.0 b	12.7 	12.0 	11.9 	11.7 	11.5 	11.3 	9.5 	8.8 	7.8 
M,RS	: 	: 	17.4 	18.1 	17.9 	16.8 	15.9 b	14.9 	13.0 	11.8 	10.6 	9.5 
M,SE	: 	11.3 	11.4 	11.2 	11.5 	11.3 	9.9 	11.7 	9.4 	9.3 	9.7 b	10.4 
M,SI	7.1 	8.2 	8.7 	9.4 	9.3 	9.9 	9.9 	9.8 	8.9 	6.9 	6.1 	5.9 
M,SK	8.1 	8.7 	9.5 	9.2 b	8.8 	8.8 	8.7 	7.5 	6.6 	6.8 	5.8 	6.3 
M,TR	18.5 	19.5 	17.7 	15.8 	16.1 	15.8 	12.9 b	13.3 	13.1 	12.8 	12.5 	14.8 
M,UK	12.5 b	13.1 	13.4 	13.4 	13.0 	12.4 	11.4 	11.0 	10.3 	10.0 	9.7 	9.4 
T,AT	7.9 	8.3 	7.9 	7.9 	8.0 	8.2 	8.6 	8.6 	8.7 	8.1 	7.4 	7.0 
T,BE	12.0 	12.8 	12.5 	12.9 b	12.7 	12.9 	13.0 	13.1 	12.4 	12.3 b	11.8 	11.2 
T,BG	9.0 b	9.7 	12.1 b	13.3 b	13.6 	13.3 	12.9 	12.2 	11.7 	9.8 	8.8 	7.5 
T,CY	4.9 	5.6 b	5.9 	6.2 	7.5 	9.2 	9.6 	9.9 	10.3 	9.1 	7.2 	6.8 
T,CZ	6.0 	6.7 	6.7 	6.3 b	6.5 	6.3 	5.9 	5.9 	5.0 	4.2 	3.8 	3.8 
T,DE	9.2 b	9.4 	9.0 b	8.3 b	8.1 	8.0 	8.0 	8.1 	8.1 	7.9 	7.5 	7.0 
T,DK	6.8 	8.3 	9.5 	9.9 	10.2 	9.5 	9.8 	9.4 	8.7 b	9.7 b	8.5 	8.4 
T,EA19	8.8 	9.9 	10.2 	10.3 	10.9 	11.5 	11.5 	11.1 	10.7 	10.2 	9.6 	9.3 
T,EE	6.1 	10.1 b	11.9 	9.5 	9.4 	8.7 	8.2 	7.8 	7.5 	7.0 	7.4 	7.2 
T,EL	7.5 	8.4 b	10.3 	13.7 	17.6 	19.6 	18.8 	18.1 	17.1 	16.1 	14.8 	13.6 
T,ES	7.4 	10.7 	11.8 	12.9 	15.1 	15.9 	15.3 	13.9 	12.6 	11.4 	10.4 	9.7 
T,EU27_2020	: 	10.0 	10.3 	10.4 	10.8 	11.3 	11.1 	10.8 	10.3 	9.7 	9.1 	8.8 
T,EU28	: 	10.2 	10.5 	10.6 	10.9 	11.2 	11.0 	10.6 	10.2 	9.6 	9.0 	8.7 
T,FI	8.1 b	9.7 	9.5 	9.4 	9.3 	9.7 	10.2 	10.4 	10.5 	10.1 	8.9 	9.0 
T,FR	9.6 	10.3 	10.2 	10.3 	10.4 	10.7 b	11.3 b	11.5 	11.5 	11.0 	10.6 	10.8 
T,HR	8.9 	9.2 	10.6 	11.1 	12.2 	12.9 	12.2 	11.2 	10.2 	9.3 	9.0 	7.9 
T,HU	12.9 	13.8 	13.8 	13.7 	13.0 	12.3 	9.7 	8.3 	7.1 	6.2 	5.5 	5.3 
T,IE	8.7 	12.4 	14.4 	15.4 	15.7 	14.4 	12.9 	11.7 	10.9 	9.8 b	9.4 	8.6 
T,IT	9.7 	10.5 	11.1 	11.2 	11.8 	13.3 	13.4 	13.1 	12.8 	12.2 	11.8 	11.8 
T,LT	9.4 	12.6 	14.3 	13.0 	12.5 	11.9 	11.2 	11.0 	10.6 	10.0 	8.7 	8.3 
T,LU	7.9 	7.3 b	6.7 	7.2 	6.5 	7.6 	7.3 	8.0 b	9.4 	9.1 	8.4 	8.4 
T,LV	6.3 	10.1 	12.4 	11.2 	10.5 	9.4 	9.4 	8.7 	8.9 	8.4 	7.9 	7.0 
T,ME	: 	: 	: 	20.1 	22.0 	21.9 	19.7 	17.7 	18.4 	16.6 	14.8 	15.4 
T,MK	20.7 	18.8 	19.2 	19.6 	18.9 	16.1 	14.9 	15.7 	13.7 	13.3 	12.5 	11.5 
T,MT	8.1 	8.2 	7.5 	7.0 	7.6 	7.7 	7.8 	6.9 	6.2 	6.1 	5.3 	5.2 
T,NL	7.6 	7.8 	7.5 	7.3 	7.5 	8.6 	9.0 	8.7 	8.4 	8.2 	7.5 	7.1 
T,PL	10.1 b	10.2 	10.4 b	10.1 	10.1 	10.4 	9.9 	9.4 	8.6 	8.0 	7.5 	7.5 
T,PT	5.6 	6.8 	7.4 	8.4 b	10.0 	10.9 	9.6 	9.0 	8.2 	6.9 	6.0 	5.6 
T,RO	10.5 	10.9 	10.8 b	11.8 	11.0 	11.0 	10.9 	10.6 	10.6 	8.9 	8.2 	7.2 
T,RS	: 	: 	16.7 	17.2 	17.4 	16.1 	15.5 b	14.3 	12.9 	11.7 	10.4 	9.6 
T,SE	: 	11.3 	10.9 	10.4 	11.1 	10.7 	10.3 	11.4 	9.8 	9.4 	9.9 b	10.3 
T,SI	6.4 	7.5 	8.3 	8.9 	8.6 	9.6 	9.6 	9.0 	9.0 	6.9 	6.0 	5.8 
T,SK	7.5 	8.2 	9.2 	8.7 b	8.4 	8.6 	8.4 	7.5 	6.4 	6.6 	5.8 	6.2 
T,TR	16.2 	17.4 	15.5 	13.6 	13.8 	13.4 	11.2 b	11.4 	11.4 	11.1 	10.8 	12.9 
T,UK	10.8 b	11.6 	11.9 	11.9 	11.5 	11.0 	10.1 	9.7 	9.1 	8.9 	8.5 	8.2 
